Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
HGF,,2,2,95,2.10%,Yes
MCM3,,1,1,6,16.70%,No
MAP3K9,,1,1,5,20.00%,No
SOCS1,,1,1,143,0.70%,Yes
GEN1,,1,1,25,4.00%,No
DIS3L2,,2,2,25,8.00%,No
KMT2A,,4,3,145,2.10%,Yes
SMARCA4,,5,5,143,3.50%,Yes
NECTIN4,,1,1,25,4.00%,No
FIP1L1,,1,1,7,14.30%,Yes
ATM,,18,15,155,9.70%,Yes
MCM2,,1,1,6,16.70%,No
MLH1,,1,1,155,0.60%,Yes
CCND1,,1,1,137,0.70%,Yes
CNOT3,,2,1,10,10.00%,Yes
RHBDF2,,2,1,25,4.00%,No
MYC,,3,3,143,2.10%,Yes
FOXP1,,1,1,92,1.10%,Yes
BCL2L1,,2,2,142,1.40%,Yes
DOT1L,,1,1,95,1.10%,Yes
FLCN,,3,3,143,2.10%,Yes
ALK,,7,6,155,3.90%,Yes
INPP4A,,2,2,91,2.20%,Yes
BCL2L12,,4,4,48,8.30%,No
RBBP8,,1,1,25,4.00%,No
ABCB11,,1,1,25,4.00%,No
MALT1,,2,2,81,2.50%,Yes
MYB,,1,1,52,1.90%,Yes
MYBL1,,1,1,48,2.10%,No
FOXO1,,1,1,90,1.10%,Yes
YAP1,,1,1,119,0.80%,Yes
OGG1,,1,1,25,4.00%,No
POT1,,11,8,38,21.10%,Yes
IRS2,,2,1,98,1.00%,Yes
PDGFRA,,1,1,155,0.60%,Yes
TOPBP1,,2,2,31,6.50%,No
SH2D1A,,1,1,119,0.80%,Yes
MSI2,,2,2,53,3.80%,Yes
ALOX12B,,1,1,111,0.90%,Yes
MUS81,,1,1,25,4.00%,No
AR,,6,5,143,3.50%,Yes
FANCI,,1,1,25,4.00%,No
CARD11,,1,1,143,0.70%,Yes
ARAF,,2,2,140,1.40%,Yes
NOTCH1,,6,5,155,3.20%,Yes
RPA1,,1,1,25,4.00%,No
NOTCH2,,12,9,140,6.40%,Yes
NOTCH3,,12,11,119,9.20%,Yes
NOTCH4,,8,6,94,6.40%,Yes
PAXIP1,,1,1,25,4.00%,No
ABL1,,1,1,155,0.60%,Yes
PIK3C2B,,1,1,48,2.10%,Yes
PIK3C2G,,2,2,91,2.20%,Yes
RIT1,,2,2,119,1.70%,Yes
NSD2,,3,3,85,3.50%,Yes
RECQL4,,4,4,133,3.00%,Yes
IRF4,,3,3,98,3.10%,Yes
AXIN2,,5,5,119,4.20%,Yes
MGA,,6,5,105,4.80%,Yes
MDM2,,1,1,143,0.70%,Yes
ANKRD11,,2,2,77,2.60%,Yes
HNF1A,,2,2,155,1.30%,Yes
TCF3,,1,1,132,0.80%,Yes
NUTM1,,1,1,10,10.00%,Yes
FLT4,,14,13,143,9.10%,Yes
CD274,,1,1,140,0.70%,Yes
FLT3,,5,4,155,2.60%,Yes
RPTOR,,3,3,120,2.50%,Yes
FLT1,,3,3,143,2.10%,Yes
CALR,,4,4,112,3.60%,Yes
PDGFRB,,6,6,143,4.20%,Yes
KMT2B,,1,1,56,1.80%,Yes
SLX4,,3,3,78,3.80%,Yes
TBX3,,1,1,94,1.10%,Yes
IDH2,,1,1,153,0.70%,Yes
NPM1,,1,1,154,0.60%,Yes
PIK3R1,,4,4,143,2.80%,Yes
PIK3R2,,3,3,98,3.10%,Yes
KDR,,23,21,155,13.50%,Yes
MDC1,,1,1,91,1.10%,Yes
SPRED1,,1,1,56,1.80%,Yes
PIK3CA,,16,15,155,9.70%,Yes
USP6,,1,1,7,14.30%,Yes
PDPK1,,2,2,91,2.20%,Yes
PIK3CB,,3,3,94,3.20%,Yes
NEGR1,,1,1,90,1.10%,Yes
PARP1,,2,2,94,2.10%,Yes
PIK3CD,,1,1,94,1.10%,Yes
PTEN,,4,4,155,2.60%,Yes
CIC,,5,5,123,4.10%,Yes
BUB1B,,2,2,55,3.60%,Yes
KCNQ1,,1,1,25,4.00%,No
RAD54L,,1,1,91,1.10%,Yes
IRS1,,4,4,91,4.40%,Yes
REL,,1,1,143,0.70%,Yes
MAP2K1,,1,1,143,0.70%,Yes
TCF7L2,,2,2,129,1.60%,Yes
AMER1,,2,2,98,2.00%,Yes
PTCH1,,4,4,143,2.80%,Yes
KMT2C,,3,3,95,3.20%,Yes
WRN,,4,3,58,5.20%,Yes
CUL3,,1,1,94,1.10%,Yes
NF2,,3,2,143,1.40%,Yes
PGBD3,,2,2,155,1.30%,No
NRAS,,6,6,155,3.90%,Yes
TSC1,,3,2,143,1.40%,Yes
ARHGAP35,,1,1,28,3.60%,Yes
CDK6,,2,2,143,1.40%,Yes
ARHGEF12,,1,1,26,3.80%,Yes
SMYD3,,1,1,53,1.90%,Yes
SDHC,,1,1,140,0.70%,Yes
GALNT12,,1,1,25,4.00%,No
STAG2,,1,1,140,0.70%,Yes
CTNNB1,,1,1,155,0.60%,Yes
DROSHA,,1,1,53,1.90%,Yes
SUFU,,3,3,143,2.10%,Yes
NF1,,6,5,143,3.50%,Yes
UPF1,,1,1,53,1.90%,Yes
GRIN2A,,2,2,95,2.10%,Yes
RET,,2,2,155,1.30%,Yes
TSHR,,1,1,123,0.80%,Yes
TEK,,1,1,53,1.90%,Yes
NFE2L2,,1,1,143,0.70%,Yes
TERT,,7,7,140,5.00%,Yes
PAX5,,1,1,145,0.70%,Yes
KLF4,,1,1,120,0.80%,Yes
MECOM,,4,4,52,7.70%,Yes
KIAA1549,,2,1,7,14.30%,No
ETV6,,3,3,140,2.10%,Yes
KDM6B,,2,2,26,7.70%,No
ASXL2,,2,2,94,2.10%,Yes
PRKN,,3,3,139,2.20%,Yes
WT1,,1,1,145,0.70%,Yes
CDKN2A,,7,7,155,4.50%,Yes
CDKN1A,,1,1,139,0.70%,Yes
CREBBP,,3,3,143,2.10%,Yes
MTOR,,10,10,143,7.00%,Yes
TET1,,2,2,120,1.70%,Yes
MYOD1,,1,1,91,1.10%,Yes
TSC2,,7,7,143,4.90%,Yes
BCL6,,1,1,143,0.70%,Yes
CLTCL1,,1,1,7,14.30%,Yes
PTK2,,1,1,20,5.00%,No
SRC,,1,1,130,0.80%,Yes
ZRSR2,,1,1,132,0.80%,Yes
QKI,,1,1,38,2.60%,Yes
NFKBIA,,1,1,126,0.80%,Yes
HIST1H3H,,1,1,77,1.30%,Yes
EWSR1,,1,1,55,1.80%,Yes
DEPDC5,,1,1,13,7.70%,No
PRPF40B,,2,2,26,7.70%,No
SMO,,2,2,155,1.30%,Yes
FGF4,,1,1,95,1.10%,Yes
