Gene,# Structural Variant,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
ABCB7,1,1,155,0.60%,No
IKBKE,1,1,98,1.00%,Yes
FAAP20,1,1,25,4.00%,No
UTRN,1,1,155,0.60%,No
NSD2,1,1,85,1.20%,Yes
ERG,1,1,123,0.80%,Yes
NKX2-1,1,1,143,0.70%,Yes
PAK5,1,1,91,1.10%,Yes
MTAP,1,1,25,4.00%,Yes
EGFL7,1,1,91,1.10%,Yes
BRAF,2,1,155,0.60%,Yes
MYC,1,1,143,0.70%,Yes
FOXP1,1,1,92,1.10%,Yes
FLT4,2,1,143,0.70%,Yes
MAML2,1,1,7,14.30%,Yes
GIPC2,1,1,155,0.60%,No
EGFR,1,1,155,0.60%,Yes
YAP1,1,1,119,0.80%,Yes
IDH2,1,1,153,0.70%,Yes
FUBP1,1,1,95,1.10%,Yes
KDR,1,1,155,0.60%,Yes
TERT,1,1,140,0.70%,Yes
TMSB4X,1,1,155,0.60%,No
TP53,1,1,155,0.60%,Yes
BCORL1,1,1,55,1.80%,Yes
DOCK4,1,1,155,0.60%,No
ETV6,2,2,140,1.40%,Yes
LATS2,1,1,91,1.10%,Yes
LMBR1,1,1,155,0.60%,No
WT1,1,1,145,0.70%,Yes
ZNF716,1,1,155,0.60%,No
CCAT1,1,1,155,0.60%,No
PARP1,2,2,94,2.10%,Yes
TFE3,1,1,38,2.60%,Yes
NTRK1,2,1,143,0.70%,Yes
CDKN2A,1,1,155,0.60%,Yes
FGF13,1,1,155,0.60%,No
APC,1,1,155,0.60%,Yes
CANX,1,1,155,0.60%,No
NOTCH1,2,2,155,1.30%,Yes
RSPO3,1,1,28,3.60%,Yes
PEAR1,2,1,155,0.60%,No
PTPRC,1,1,7,14.30%,Yes
PCLAF,1,1,155,0.60%,No
PTBP1,1,1,155,0.60%,No
RB1,1,1,155,0.60%,Yes
