Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
PTPN11,,1,1,125,0.80%,Yes
KMT2A,,3,3,92,3.30%,Yes
SMARCB1,,1,1,126,0.80%,Yes
EP300,,4,2,92,2.20%,Yes
ATM,,4,4,126,3.20%,Yes
CNOT3,,1,1,6,16.70%,Yes
CENPA,,1,1,58,1.70%,Yes
DOT1L,,1,1,69,1.40%,Yes
BRIP1,,1,1,91,1.10%,Yes
CDH1,,3,3,123,2.40%,Yes
DAXX,,2,2,75,2.70%,Yes
MYBL1,,1,1,24,4.20%,No
INPPL1,,1,1,41,2.40%,Yes
TPR,,1,1,2,50.00%,Yes
PMS2,,1,1,91,1.10%,Yes
IRS2,,1,1,71,1.40%,Yes
MEN1,,2,2,92,2.20%,Yes
PDGFRA,,2,2,126,1.60%,Yes
SOX17,,1,1,64,1.60%,Yes
IKZF3,,1,1,18,5.60%,Yes
EPHA7,,1,1,78,1.30%,Yes
EPHA5,,1,1,81,1.20%,Yes
FBXW7,,1,1,126,0.80%,Yes
CHD2,,1,1,5,20.00%,Yes
BCOR,,2,2,90,2.20%,Yes
HIST1H1C,,1,1,65,1.50%,Yes
CARD11,,2,2,91,2.20%,Yes
SF3B1,,1,1,94,1.10%,Yes
NOTCH1,,3,3,126,2.40%,Yes
MAP3K1,,1,1,89,1.10%,Yes
POLD1,,1,1,70,1.40%,Yes
BRD3,,1,1,12,8.30%,Yes
NOTCH3,,1,1,80,1.30%,Yes
MYD88,,1,1,94,1.10%,Yes
EMSY,,1,1,6,16.70%,Yes
ROS1,,1,1,96,1.00%,Yes
IKBKE,,1,1,71,1.40%,Yes
SHOC2,,1,1,41,2.40%,Yes
NT5C2,,1,1,15,6.70%,Yes
MUTYH,,1,1,91,1.10%,Yes
PIK3C2G,,3,3,65,4.60%,Yes
SMC3,,1,1,27,3.70%,Yes
AXIN2,,2,2,76,2.60%,Yes
FANCD2,,1,1,28,3.60%,Yes
HMBS,,2,2,8,25.00%,No
FANCC,,1,1,91,1.10%,Yes
RICTOR,,1,1,80,1.30%,Yes
FANCA,,2,2,94,2.10%,Yes
MGA,,4,4,70,5.70%,Yes
EPCAM,,1,1,76,1.30%,Yes
IDH1,,32,32,125,25.60%,Yes
ANKRD11,,1,1,58,1.70%,Yes
KIT,,1,1,126,0.80%,Yes
TCF3,,1,1,84,1.20%,Yes
FLT4,,1,1,91,1.10%,Yes
CCND3,,1,1,93,1.10%,Yes
EPHB1,,1,1,71,1.40%,Yes
FLT1,,1,1,92,1.10%,Yes
CALR,,2,2,72,2.80%,Yes
PRPF8,,1,1,14,7.10%,No
CHEK2,,1,1,94,1.10%,Yes
SLX4,,1,1,52,1.90%,Yes
BABAM1,,1,1,49,2.00%,Yes
IDH2,,6,6,115,5.20%,Yes
PRKAR1A,,1,1,91,1.10%,Yes
KAT6A,,1,1,18,5.60%,Yes
TMPRSS2,,1,1,78,1.30%,Yes
PAK1,,1,1,68,1.50%,Yes
SDHA,,1,1,84,1.20%,Yes
PBRM1,,2,2,88,2.30%,Yes
ERBB4,,2,2,125,1.60%,Yes
PIK3CA,,2,2,126,1.60%,Yes
NEGR1,,1,1,67,1.50%,Yes
ARID1B,,1,1,89,1.10%,Yes
PTEN,,2,2,126,1.60%,Yes
CUX1,,1,1,25,4.00%,Yes
CIC,,2,2,80,2.50%,Yes
ATRX,,2,2,94,2.10%,Yes
STAT6,,1,1,28,3.60%,Yes
IRS1,,1,1,64,1.60%,Yes
REL,,2,2,91,2.20%,Yes
TCF7L2,,1,1,84,1.20%,Yes
GLI2,,1,1,24,4.20%,No
PTCH1,,4,4,95,4.20%,Yes
KMT2C,,2,2,67,3.00%,Yes
DICER1,,1,1,90,1.10%,Yes
CUL3,,1,1,68,1.50%,Yes
ESPL1,,1,1,4,25.00%,No
TSHZ2,,1,1,4,25.00%,No
STK11,,1,1,126,0.80%,Yes
PRKD1,,1,1,41,2.40%,Yes
ZNF217,,1,1,25,4.00%,Yes
ERG,,1,1,80,1.30%,Yes
ARHGEF12,,1,1,9,11.10%,Yes
FAT1,,1,1,76,1.30%,Yes
ERCC5,,2,2,86,2.30%,Yes
ERCC4,,1,1,86,1.20%,Yes
ERCC3,,1,1,86,1.20%,Yes
CDK4,,1,1,95,1.10%,Yes
GATA3,,2,2,91,2.20%,Yes
JAK1,,1,1,83,1.20%,Yes
BRAF,,1,1,126,0.80%,Yes
JAK2,,1,1,126,0.80%,Yes
CDC73,,1,1,92,1.10%,Yes
CTNNB1,,3,3,126,2.40%,Yes
ERCC2,,2,2,94,2.10%,Yes
FANCG,,1,1,29,3.40%,Yes
ID3,,1,1,85,1.20%,Yes
DROSHA,,1,1,41,2.40%,Yes
SUFU,,1,1,91,1.10%,Yes
AXL,,1,1,95,1.10%,Yes
