Gene,# Structural Variant,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
KANTR,1,1,126,0.80%,No
NF2,1,1,95,1.10%,Yes
AXIN2,2,2,76,2.60%,Yes
WDFY3,1,1,126,0.80%,No
EWSR1,1,1,28,3.60%,Yes
CACNA1A,1,1,126,0.80%,No
CTNNB1,1,1,126,0.80%,Yes
FLT4,1,1,91,1.10%,Yes
DOT1L,1,1,69,1.40%,Yes
CEACAM1,1,1,1,100.00%,No
NCOA2,1,1,7,14.30%,Yes
SLC13A5,1,1,126,0.80%,No
KDM5C,1,1,88,1.10%,Yes
SMAD3,1,1,68,1.50%,Yes
KDM6B,1,1,14,7.10%,No
BRD4,1,1,89,1.10%,Yes
PIK3CA,1,1,126,0.80%,Yes
CEBPA,1,1,88,1.10%,Yes
DIRAS3,1,1,126,0.80%,No
CDKN2A,2,2,126,1.60%,Yes
CDK1,1,1,12,8.30%,No
STYK1,1,1,126,0.80%,No
SDK2,2,2,126,1.60%,No
NOTCH2,1,1,91,1.10%,Yes
RECQL,1,1,41,2.40%,Yes
NOTCH4,1,1,67,1.50%,Yes
