Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
FH,,1q43,AMP,1,61,1.60%,Yes
CBFB,,16q22.1,AMP,2,60,3.30%,Yes
PTEN,,10q23.31,HOMDEL,1,63,1.60%,Yes
RET,,10q11.21,HOMDEL,1,63,1.60%,Yes
CTCF,,16q22.1,AMP,2,60,3.30%,Yes
MDM2,,12q15,AMP,1,63,1.60%,Yes
GATA2,,3q21.3,HOMDEL,1,60,1.70%,Yes
PAX5,,9p13.2,HOMDEL,1,63,1.60%,Yes
AKT1,,14q32.33,AMP,1,63,1.60%,Yes
FOXL2,,3q22.3,HOMDEL,1,60,1.70%,Yes
KMT2B,,19q13.12,AMP,1,35,2.90%,Yes
MTAP,,9p21.3,HOMDEL,1,5,20.00%,Yes
CDKN2A,,9p21.3,HOMDEL,18,63,28.60%,Yes
H3F3A,,1q42.12,AMP,1,54,1.90%,Yes
RAD21,,8q24.11,AMP,1,55,1.80%,Yes
KLLN,,10q23.31,HOMDEL,1,5,20.00%,No
NTRK2,,9q21.33,AMP,1,63,1.60%,Yes
FLCN,,17p11.2,AMP,1,62,1.60%,Yes
EXT1,,8q24.11,AMP,1,7,14.30%,Yes
SMARCD1,,12q13.12,AMP,1,55,1.80%,Yes
CDH1,,16q22.1,AMP,2,63,3.20%,Yes
SYK,,9q22.2,AMP,1,57,1.80%,Yes
SMARCB1,,22q11.23|22q11,HOMDEL,3,63,4.80%,Yes
EPHB1,,3q22.2,HOMDEL,1,56,1.80%,Yes
MCL1,,1q21.2,AMP,1,63,1.60%,Yes
CEBPA,,19q13.11,AMP,1,56,1.80%,Yes
ROS1,,6q22.1,AMP,1,62,1.60%,Yes
KMT2D,,12q13.12,AMP,1,62,1.60%,Yes
CDKN2B,,9p21.3,HOMDEL,16,63,25.40%,Yes
ZFHX3,,16q22.2-q22.3,AMP,1,47,2.10%,Yes
