Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
HGF,,1,1,60,1.70%,Yes
KMT2A,,3,2,68,2.90%,Yes
SMARCA4,,1,1,68,1.50%,Yes
STK11,,1,1,73,1.40%,Yes
SMARCB1,,2,2,73,2.70%,Yes
EP300,,2,2,67,3.00%,Yes
ERCC6,,1,1,5,20.00%,No
FAT1,,1,1,61,1.60%,Yes
ATM,,2,2,73,2.70%,Yes
GATA2,,1,1,65,1.50%,Yes
MYC,,1,1,68,1.50%,Yes
BRCA2,,3,3,68,4.40%,Yes
ALK,,2,2,73,2.70%,Yes
NF1,,1,1,68,1.50%,Yes
SPOP,,1,1,65,1.50%,Yes
FOXO1,,1,1,50,2.00%,Yes
LATS1,,1,1,55,1.80%,Yes
POT1,,1,1,8,12.50%,Yes
TERT,,4,4,66,6.10%,Yes
MEN1,,1,1,68,1.50%,Yes
LATS2,,1,1,55,1.80%,Yes
WT1,,1,1,68,1.50%,Yes
MCM8,,1,1,5,20.00%,No
CDKN2A,,2,2,73,2.70%,Yes
ETV4,,1,1,10,10.00%,Yes
AR,,1,1,68,1.50%,Yes
ETV1,,1,1,64,1.60%,Yes
ARID5B,,1,1,55,1.80%,Yes
APC,,1,1,73,1.40%,Yes
FANCI,,1,1,7,14.30%,No
ARID2,,1,1,67,1.50%,Yes
TSC2,,1,1,68,1.50%,Yes
NOTCH2,,1,1,67,1.50%,Yes
POLE,,1,1,61,1.60%,Yes
NOTCH4,,1,1,57,1.80%,Yes
SETD2,,5,5,67,7.50%,Yes
MDM4,,2,2,68,2.90%,Yes
ROS1,,1,1,67,1.50%,Yes
TRAF3,,1,1,7,14.30%,Yes
BAP1,,1,1,68,1.50%,Yes
NSD2,,1,1,45,2.20%,Yes
MDM2,,1,1,68,1.50%,Yes
CD274,,1,1,67,1.50%,Yes
FLT3,,1,1,73,1.40%,Yes
PDGFRB,,2,2,68,2.90%,Yes
CHEK2,,1,1,68,1.50%,Yes
RARA,,1,1,68,1.50%,Yes
ARID1A,,4,4,68,5.90%,Yes
MRE11,,1,1,66,1.50%,Yes
NBN,,1,1,64,1.60%,Yes
TP53,,3,3,73,4.10%,Yes
PMS1,,1,1,63,1.60%,Yes
PBRM1,,5,5,67,7.50%,Yes
FGFR3,,1,1,73,1.40%,Yes
PIK3CA,,4,4,73,5.50%,Yes
RBM10,,1,1,61,1.60%,Yes
KMT2D,,3,3,64,4.70%,Yes
ARID1B,,1,1,66,1.50%,Yes
NTRK1,,1,1,68,1.50%,Yes
PTEN,,2,2,73,2.70%,Yes
ZFHX3,,1,1,47,2.10%,Yes
NTRK2,,1,1,68,1.50%,Yes
CUX1,,2,2,9,22.20%,Yes
INHBA,,1,1,50,2.00%,Yes
HLA-B,,1,1,35,2.90%,Yes
DDB1,,1,1,5,20.00%,No
MED12,,3,3,65,4.60%,Yes
CBL,,2,2,68,2.90%,Yes
VHL,,1,1,73,1.40%,Yes
MSH2,,1,1,68,1.50%,Yes
PTPRS,,1,1,55,1.80%,Yes
AMER1,,1,1,60,1.70%,Yes
GLI2,,1,1,7,14.30%,No
PTCH1,,1,1,68,1.50%,Yes
