Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
MAP3K9,,1,1,2,50.00%,No
DIS3L2,,1,1,5,20.00%,No
KMT2A,,1,1,45,2.20%,Yes
ARHGAP35,,1,1,7,14.30%,Yes
FH,,1,1,45,2.20%,Yes
PHOX2B,,1,1,45,2.20%,Yes
FLCN,,1,1,45,2.20%,Yes
ALK,,1,1,51,2.00%,Yes
ERCC2,,1,1,49,2.00%,Yes
NF1,,1,1,49,2.00%,Yes
XPO1,,1,1,49,2.00%,Yes
BRIP1,,1,1,45,2.20%,Yes
XRCC2,,1,1,38,2.60%,Yes
PRDM1,,1,1,45,2.20%,Yes
MYBL1,,1,1,12,8.30%,No
TAZ,,1,1,5,20.00%,No
EIF4E,,1,1,33,3.00%,Yes
PRKDC,,1,1,12,8.30%,Yes
TERT,,2,1,49,2.00%,Yes
NSD1,,1,1,40,2.50%,Yes
MECOM,,1,1,10,10.00%,Yes
SPEN,,1,1,35,2.90%,Yes
ASXL2,,1,1,35,2.90%,Yes
SETBP1,,1,1,12,8.30%,Yes
BCL11B,,1,1,5,20.00%,Yes
CREBBP,,1,1,49,2.00%,Yes
MTOR,,1,1,49,2.00%,Yes
TET1,,1,1,38,2.60%,Yes
ARID2,,1,1,45,2.20%,Yes
NOTCH1,,1,1,51,2.00%,Yes
TSC2,,2,2,49,4.10%,Yes
BRD3,,1,1,5,20.00%,Yes
POLE,,1,1,46,2.20%,Yes
SRC,,1,1,46,2.20%,Yes
PTP4A1,,1,1,26,3.80%,Yes
MSH6,,1,1,49,2.00%,Yes
SETD2,,1,1,49,2.00%,Yes
ROS1,,2,2,51,3.90%,Yes
SHOC2,,1,1,26,3.80%,Yes
RECQL4,,1,1,41,2.40%,Yes
FANCA,,1,1,49,2.00%,Yes
DIS3,,1,1,45,2.20%,Yes
CSF1R,,1,1,44,2.30%,Yes
TCF3,,1,1,43,2.30%,Yes
FUS,,1,1,10,10.00%,Yes
FLT3,,1,1,51,2.00%,Yes
SESN3,,1,1,26,3.80%,Yes
PTPRT,,1,1,35,2.90%,Yes
IDH2,,1,1,51,2.00%,Yes
ARID1A,,1,1,49,2.00%,Yes
FUBP1,,1,1,35,2.90%,Yes
SMAD3,,1,1,35,2.90%,Yes
TP53BP1,,1,1,31,3.20%,Yes
PMS1,,1,1,45,2.20%,Yes
FGFR4,,1,1,49,2.00%,Yes
ERBB3,,2,2,49,4.10%,Yes
COL7A1,,3,2,5,40.00%,No
FGFR3,,2,2,51,3.90%,Yes
KMT2D,,1,1,45,2.20%,Yes
RUNX1,,1,1,45,2.20%,Yes
RUNX1T1,,1,1,7,14.30%,Yes
CIC,,1,1,40,2.50%,Yes
FANCM,,1,1,5,20.00%,No
ATRX,,3,3,49,6.10%,Yes
MED12,,1,1,44,2.30%,Yes
CBLB,,1,1,12,8.30%,Yes
MSH2,,1,1,49,2.00%,Yes
MSH3,,1,1,28,3.60%,Yes
SDHAF2,,1,1,43,2.30%,Yes
MAP2K1,,1,1,49,2.00%,Yes
GLI2,,1,1,12,8.30%,No
PTCH1,,1,1,49,2.00%,Yes
KMT2C,,1,1,33,3.00%,Yes
