Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
JAK2,,9p24.1,AMP,1,24,4.20%,Yes
ERBB3,,12q13.2,AMP,8,24,33.30%,Yes
STAT6,,12q13.3,AMP,1,4,25.00%,Yes
LATS1,,6q25.1,AMP,1,20,5.00%,Yes
ARID2,,12q12,AMP,1,24,4.20%,Yes
BCOR,,Xp11.4,HOMDEL,1,24,4.20%,Yes
DNAJB1,,19p13.12,HOMDEL,1,17,5.90%,Yes
STK11,,19p13.3,AMP,1,24,4.20%,Yes
PHOX2B,,4p13,AMP,1,24,4.20%,Yes
RAC1,,7p22.1,AMP,4,23,17.40%,Yes
AURKA,,20q13.2,AMP,1,24,4.20%,Yes
TERT,,5p15.33,AMP,11,24,45.80%,Yes
KDM6A,,Xp11.3,HOMDEL,1,24,4.20%,Yes
TNFAIP3,,6q23.3,AMP,1,24,4.20%,Yes
PAX5,,9p13.2,HOMDEL,1,24,4.20%,Yes
FGF19,,11q13.3,AMP,2,20,10.00%,Yes
CDKN2A,,9p21.3,HOMDEL,5,24,20.80%,Yes
PDGFRA,,4q12,AMP,11,24,45.80%,Yes
IL7R,,5p13.2,AMP,1,23,4.30%,Yes
KDM5C,,Xp11.22,AMP,1,24,4.20%,Yes
FYN,,6q21,AMP,1,17,5.90%,Yes
ZRSR2,,Xp22.2,HOMDEL,1,21,4.80%,Yes
GNA11,,19p13.3,HOMDEL,1,24,4.20%,Yes
CARD11,,7p22.2,AMP,3,24,12.50%,Yes
FGFR1,,8p11.23,AMP,1,24,4.20%,Yes
CCNE1,,19q12,AMP,2,24,8.30%,Yes
LMO2,,11p13,AMP,1,4,25.00%,Yes
SMARCD1,,12q13.12,AMP,2,20,10.00%,Yes
ELOC,,8q21.11,AMP,2,20,10.00%,Yes
SOX9,,17q24.3,AMP,1,24,4.20%,Yes
CDKN1A,,6p21.2,AMP,1,24,4.20%,Yes
PRAME,,22q11.22,AMP,1,1,100.00%,No
NOTCH2,,1p12,AMP,3,24,12.50%,Yes
INHA,,2q35,AMP,1,17,5.90%,Yes
SMARCA4,,19p13.2,HOMDEL,1,24,4.20%,Yes
NOTCH1,,9q34.3,HOMDEL,1,24,4.20%,Yes
CRLF2,,Xp22.33 and Yp11.2,HOMDEL,2,24,8.30%,Yes
FGF3,,11q13.3,AMP,1,20,5.00%,Yes
CDKN2B,,9p21.3,HOMDEL,5,24,20.80%,Yes
ETV1,,7p21.2,AMP,1,24,4.20%,Yes
INSR,,19p13.2,AMP,2,20,10.00%,Yes
PMS2,,7p22.1,AMP,4,24,16.70%,Yes
TCF3,,19p13.3,AMP,1,21,4.80%,Yes
AGO2,,8q24.3,AMP,1,11,9.10%,Yes
CDK4,,12q14.1,AMP,14,24,58.30%,Yes
EGFR,,7p11.2,AMP,2,24,8.30%,Yes
CDKN1B,,12p13.1,AMP,1,24,4.20%,Yes
MDM2,,12q15,AMP,19,24,79.20%,Yes
TEK,,9p21.2,HOMDEL,1,11,9.10%,Yes
ERCC3,,2q14.3,AMP,1,24,4.20%,Yes
FGFR2,,10q26.13,HOMDEL,1,24,4.20%,Yes
KMT2B,,19q13.12,AMP,1,11,9.10%,Yes
MTAP,,9p21.3,HOMDEL,1,3,33.30%,Yes
CALR,,19p13.13,HOMDEL,1,20,5.00%,Yes
EIF1AX,,Xp22.12,HOMDEL,1,20,5.00%,Yes
PREX2,,8q13.2,AMP,1,11,9.10%,Yes
MAPK1,,22q11.22,AMP,2,24,8.30%,Yes
FGF4,,11q13.3,AMP,2,20,10.00%,Yes
GNAS,,20q13.32,AMP,1,24,4.20%,Yes
RAD21,,8q24.11,AMP,1,21,4.80%,Yes
RICTOR,,5p13.1,AMP,2,23,8.70%,Yes
CCND1,,11q13.3,AMP,2,24,8.30%,Yes
TRAF2,,9q34.3,HOMDEL,1,17,5.90%,Yes
PRDM14,,8q13.3,AMP,1,11,9.10%,Yes
IGF1R,,15q26.3,AMP,1,24,4.20%,Yes
KDR,,4q12,AMP,6,24,25.00%,Yes
KIT,,4q12,AMP,11,24,45.80%,Yes
WT1,,11p13,AMP,1,24,4.20%,Yes
YAP1,,11q22.1,AMP,1,23,4.30%,Yes
SDHA,,5p15.33,AMP,4,24,16.70%,Yes
EGFL7,,9q34.3,HOMDEL,1,20,5.00%,Yes
CCND3,,6p21.1,AMP,4,24,16.70%,Yes
RPS6KB2,,11q13.2,AMP,1,20,5.00%,Yes
IFNGR1,,6q23.3,AMP,1,20,5.00%,Yes
VEGFA,,6p21.1,AMP,2,20,10.00%,Yes
DROSHA,,5p13.3,AMP,1,11,9.10%,Yes
CXCR4,,2q22.1,HOMDEL,1,20,5.00%,Yes
KEAP1,,19p13.2,AMP,1,24,4.20%,Yes
GLI1,,12q13.3,AMP,10,21,47.60%,Yes
HRAS,,11p15.5,AMP,1,24,4.20%,Yes
KMT2D,,12q13.12,AMP,2,24,8.30%,Yes
CRKL,,22q11.21,AMP,1,24,4.20%,Yes
PIM1,,6p21.2,AMP,1,24,4.20%,Yes
DOT1L,,19p13.3,AMP,1,20,5.00%,Yes
