Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
FIP1L1,,2,2,26,7.70%,Yes
XRCC6,,1,1,102,1.00%,No
CNOT3,,1,1,28,3.60%,Yes
MYC,,1,1,414,0.20%,Yes
FOXP1,,3,3,202,1.50%,Yes
CLTC,,1,1,28,3.60%,Yes
FLCN,,1,1,405,0.20%,Yes
RBBP8,,1,1,102,1.00%,No
MALT1,,1,1,191,0.50%,Yes
FOXO3,,1,1,26,3.80%,Yes
MYBL1,,3,3,180,1.70%,No
RBL2,,3,3,74,4.10%,No
OGG1,,2,2,102,2.00%,No
POT1,,1,1,155,0.60%,Yes
H3F3C,,1,1,201,0.50%,Yes
KCNJ5,,1,1,26,3.80%,Yes
NOTCH1,,21,19,507,3.70%,Yes
MYCL,,1,1,413,0.20%,Yes
INSR,,4,4,203,2.00%,Yes
NOTCH2,,6,6,427,1.40%,Yes
NOTCH3,,7,7,323,2.20%,Yes
INSRR,,1,1,508,0.20%,No
MYCN,,3,3,413,0.70%,Yes
NOTCH4,,3,3,245,1.20%,Yes
CTCF,,2,2,316,0.60%,Yes
MYD88,,2,2,415,0.50%,Yes
PAXIP1,,1,1,102,1.00%,No
HELQ,,2,2,102,2.00%,No
IDH1,,2,2,507,0.40%,Yes
HNF1A,,2,2,502,0.40%,Yes
PSMD13,,1,1,74,1.40%,No
USP28,,2,2,102,2.00%,No
TCF3,,5,5,394,1.30%,Yes
FLT4,,6,6,406,1.50%,Yes
FLT3,,5,5,506,1.00%,Yes
RPTOR,,6,6,316,1.90%,Yes
FLT1,,8,8,425,1.90%,Yes
CALR,,3,3,298,1.00%,Yes
NEIL2,,1,1,102,1.00%,No
IDH2,,3,3,475,0.60%,Yes
KDR,,9,9,505,1.80%,Yes
CTNNA1,,1,1,131,0.80%,Yes
CTLA4,,2,2,303,0.70%,Yes
USP6,,1,1,28,3.60%,Yes
NEIL1,,1,1,102,1.00%,No
NEGR1,,1,1,216,0.50%,Yes
PTEN,,17,17,508,3.30%,Yes
MIB1,,1,1,9,11.10%,Yes
TCF12,,1,1,44,2.30%,Yes
CDH4,,5,4,102,3.90%,No
BUB1B,,5,5,220,2.30%,Yes
KCNQ1,,1,1,102,1.00%,No
IRS1,,1,1,201,0.50%,Yes
REL,,1,1,406,0.20%,Yes
MAP2K1,,1,1,433,0.20%,Yes
TCF7L2,,1,1,362,0.30%,Yes
NPRL2,,1,1,50,2.00%,No
MAP2K2,,1,1,340,0.30%,Yes
PTCH1,,9,9,413,2.20%,Yes
KMT2C,,8,8,242,3.30%,Yes
NF2,,2,2,411,0.50%,Yes
NRAS,,1,1,508,0.20%,Yes
CDK6,,1,1,413,0.20%,Yes
CSMD3,,4,3,18,16.70%,No
CDK4,,2,2,413,0.50%,Yes
GALNT12,,1,1,102,1.00%,No
CDC73,,1,1,406,0.20%,Yes
STAG2,,3,3,390,0.80%,Yes
CTNNB1,,6,6,508,1.20%,Yes
FBXO11,,1,1,35,2.90%,Yes
DROSHA,,2,2,130,1.50%,Yes
NF1,,14,13,430,3.00%,Yes
RET,,2,2,508,0.40%,Yes
FAAP24,,1,1,102,1.00%,No
NFE2L2,,2,2,427,0.50%,Yes
MECOM,,5,5,202,2.50%,Yes
KIAA1549,,3,3,28,10.70%,No
CDKN2C,,1,1,406,0.20%,Yes
ETV6,,2,2,390,0.50%,Yes
ASXL2,,1,1,203,0.50%,Yes
ETV5,,3,3,213,1.40%,Yes
CDKN2A,,2,2,506,0.40%,Yes
CDKN1C,,3,3,176,1.70%,No
CDKN1A,,1,1,381,0.30%,Yes
ETV1,,3,3,404,0.70%,Yes
CASP8,,3,3,314,1.00%,Yes
CDK9,,1,1,74,1.40%,No
RNF213,,2,1,18,5.60%,Yes
CDK8,,1,1,332,0.30%,Yes
CREBBP,,13,13,413,3.10%,Yes
MTOR,,12,11,432,2.50%,Yes
TET1,,6,6,321,1.90%,Yes
BCL6,,4,4,409,1.00%,Yes
SRC,,1,1,403,0.20%,Yes
NFKB1,,2,1,18,5.60%,No
SYK,,2,2,304,0.70%,Yes
EXT2,,3,3,220,1.40%,Yes
FGF6,,1,1,16,6.30%,Yes
SMO,,7,7,505,1.40%,Yes
FGF4,,1,1,217,0.50%,Yes
IFNGR1,,1,1,201,0.50%,Yes
PNRC1,,2,1,284,0.40%,Yes
IL7R,,5,5,332,1.50%,Yes
BCR,,2,2,53,3.80%,Yes
SMARCE1,,1,1,128,0.80%,Yes
RAC1,,1,1,314,0.30%,Yes
PPP2R1A,,1,1,353,0.30%,Yes
RAD51B,,1,1,218,0.50%,Yes
RAD51D,,2,2,323,0.60%,Yes
NBN,,1,1,413,0.20%,Yes
RAD52,,2,2,312,0.60%,Yes
RAF1,,2,2,414,0.50%,Yes
ENG,,2,2,102,2.00%,No
FGFR4,,4,4,432,0.90%,Yes
FGFR2,,2,2,508,0.40%,Yes
COL7A1,,5,5,102,4.90%,No
FGFR3,,7,7,507,1.40%,Yes
CEBPA,,1,1,400,0.30%,Yes
FGFR1,,4,4,507,0.80%,Yes
MLH3,,6,6,106,5.70%,No
HLA-B,,1,1,130,0.80%,Yes
RUNX1T1,,2,2,131,1.50%,Yes
CBFA2T3,,1,1,102,1.00%,Yes
FANCM,,2,2,113,1.80%,No
CBFB,,1,1,290,0.30%,Yes
RSPO2,,1,1,106,0.90%,Yes
RAD21,,1,1,380,0.30%,Yes
CBL,,1,1,412,0.20%,Yes
MMP2,,1,1,18,5.60%,No
MAPKAP1,,1,1,130,0.80%,Yes
CBLB,,4,4,206,1.90%,Yes
MSH2,,2,2,414,0.50%,Yes
RAD51,,1,1,323,0.30%,Yes
MSH3,,4,4,144,2.80%,Yes
RAD51C,,3,3,324,0.90%,Yes
POLQ,,6,6,104,5.80%,Yes
PTPN11,,2,2,506,0.40%,Yes
PTPN14,,2,2,102,2.00%,No
EP300,,10,10,409,2.40%,Yes
FH,,2,2,397,0.50%,Yes
IGF2,,2,2,332,0.60%,Yes
IGF1R,,4,4,412,1.00%,Yes
MEF2B,,1,1,390,0.30%,Yes
SH2B3,,2,2,381,0.50%,Yes
PHOX2B,,3,3,397,0.80%,Yes
EZH2,,2,2,472,0.40%,Yes
UBR5,,2,2,44,4.50%,Yes
CDH1,,2,2,501,0.40%,Yes
PRDM1,,3,3,406,0.70%,Yes
CADM2,,1,1,50,2.00%,No
SS18,,2,2,132,1.50%,Yes
PRF1,,7,7,202,3.50%,Yes
MEN1,,3,3,406,0.70%,Yes
INPP4B,,2,2,232,0.90%,Yes
NSD1,,5,5,306,1.60%,Yes
CXCR4,,1,1,279,0.40%,Yes
EPHA7,,2,1,268,0.40%,Yes
COP1,,2,2,275,0.70%,Yes
EPHA5,,9,8,288,2.80%,Yes
EPHA3,,4,4,304,1.30%,Yes
BCOR,,10,10,390,2.60%,Yes
BLM,,5,4,406,1.00%,Yes
HIST1H1C,,1,1,211,0.50%,Yes
ARID5B,,1,1,203,0.50%,Yes
