Gene,# Structural Variant,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
PDE4A,1,1,508,0.20%,No
KMT2A,1,1,411,0.20%,Yes
SMARCA4,1,1,410,0.20%,Yes
ZNF18,1,1,508,0.20%,No
BCL2L11,1,1,201,0.50%,Yes
LAMC1,1,1,508,0.20%,No
FOXP1,1,1,202,0.50%,Yes
KLLN,1,1,102,1.00%,No
ATRNL1,1,1,508,0.20%,No
ALK,2,2,507,0.40%,Yes
ATP8A2,1,1,508,0.20%,No
AGAP10P,1,1,508,0.20%,No
SPOP,1,1,320,0.30%,Yes
FOXO1,1,1,220,0.50%,Yes
SS18,1,1,132,0.80%,Yes
MTA1,1,1,102,1.00%,No
WAS,1,1,146,0.70%,Yes
ST8SIA1,1,1,508,0.20%,No
HIST1H1E,1,1,10,10.00%,Yes
DLG2,1,1,508,0.20%,No
FANCI,1,1,120,0.80%,No
EPB41L1,1,1,508,0.20%,No
NBEA,1,1,508,0.20%,No
BICC1,1,1,508,0.20%,No
KCNJ6,1,1,508,0.20%,No
NOTCH2,1,1,427,0.20%,Yes
NOTCH3,1,1,323,0.30%,Yes
POLE,1,1,313,0.30%,Yes
SSX1,1,1,44,2.30%,Yes
ABCA3,1,1,508,0.20%,No
MSH6,2,2,414,0.50%,Yes
IL1RAPL2,1,1,508,0.20%,No
ROS1,1,1,431,0.20%,Yes
ABL1,1,1,499,0.20%,Yes
NSD2,1,1,259,0.40%,Yes
AXIN1,1,1,212,0.50%,Yes
HELQ,1,1,102,1.00%,No
FANCD2,2,1,233,0.40%,Yes
ADNP2,1,1,508,0.20%,No
DMD,1,1,74,1.40%,No
DNAH2,1,1,508,0.20%,No
ENOX1,1,1,508,0.20%,No
CSTF2,1,1,508,0.20%,No
SLC22A9,1,1,508,0.20%,No
HIST1H2BD,1,1,201,0.50%,Yes
CHEK1,1,1,339,0.30%,Yes
PDGFRB,1,1,413,0.20%,Yes
PDCD1LG2,1,1,318,0.30%,Yes
FGF16,1,1,508,0.20%,No
SLX4,1,1,239,0.40%,Yes
NPM1,1,1,500,0.20%,Yes
SMAD3,1,1,205,0.50%,Yes
RELA,1,1,106,0.90%,No
TMPRSS2,3,2,316,0.60%,Yes
ERBB4,1,1,505,0.20%,Yes
ERBB3,1,1,431,0.20%,Yes
PTEN,2,2,508,0.40%,Yes
NTRK2,1,1,394,0.30%,Yes
CUX1,1,1,188,0.50%,Yes
NTRK3,1,1,410,0.20%,Yes
DDB2,1,1,220,0.50%,Yes
GUCY1B2,1,1,508,0.20%,No
CIC,1,1,332,0.30%,Yes
HABP2,1,1,102,1.00%,No
ATRX,9,9,410,2.20%,Yes
IGLC6,1,1,508,0.20%,No
CREB3L3,1,1,508,0.20%,No
MSN,1,1,508,0.20%,Yes
OR3A2,1,1,508,0.20%,No
MAP2K1,1,1,433,0.20%,Yes
CHERP,1,1,508,0.20%,No
SLC24A3,1,1,508,0.20%,No
AMER1,1,1,230,0.40%,Yes
PTCH1,1,1,413,0.20%,Yes
PHF6,1,1,216,0.50%,Yes
NF2,1,1,411,0.20%,Yes
STK11,1,1,507,0.20%,Yes
TSC1,1,1,431,0.20%,Yes
SDHC,1,1,402,0.20%,Yes
MAP3K14,1,1,176,0.60%,Yes
BRCA1,1,1,415,0.20%,Yes
JAK1,1,1,337,0.30%,Yes
KPNA3,1,1,508,0.20%,No
SULT1B1,1,1,508,0.20%,No
BRCA2,4,3,415,0.70%,Yes
CTC1,1,1,508,0.20%,No
AXL,1,1,410,0.20%,Yes
XPO1,1,1,410,0.20%,Yes
PRKCA,1,1,4,25.00%,No
KEAP1,1,1,399,0.30%,Yes
CIITA,1,1,211,0.50%,Yes
ACTA2,1,1,508,0.20%,No
TERT,1,1,389,0.30%,Yes
KDM6B,1,1,100,1.00%,No
BRD7,1,1,508,0.20%,No
ASXL2,1,1,203,0.50%,Yes
FTMT,1,1,508,0.20%,No
WRAP53,2,2,508,0.40%,No
APC,1,1,502,0.20%,Yes
CRTC1,2,2,194,1.00%,Yes
TSC2,3,2,431,0.50%,Yes
BIRC2,1,1,18,5.60%,No
MTM1,1,1,508,0.20%,No
PALB2,1,1,414,0.20%,Yes
SLITRK4,1,1,508,0.20%,No
ZRSR2,1,1,380,0.30%,Yes
AKAP8,1,1,508,0.20%,No
ESR1,1,1,416,0.20%,Yes
EWSR1,1,1,215,0.50%,Yes
SMCHD1,1,1,508,0.20%,No
LMOD1,1,1,508,0.20%,No
ZNF77,1,1,508,0.20%,No
GNA11,1,1,481,0.20%,Yes
IFNGR1,1,1,201,0.50%,Yes
BIRC6,1,1,508,0.20%,No
SLC39A11,1,1,508,0.20%,No
GPALPP1,1,1,508,0.20%,No
FUS,1,1,182,0.50%,Yes
SRF,1,1,508,0.20%,No
PTPRT,2,2,221,0.90%,Yes
SMARCD1,1,1,210,0.50%,Yes
NAV2,1,1,508,0.20%,No
TRIM41,1,1,508,0.20%,No
RACK1,1,1,50,2.00%,No
ZNF268,1,1,508,0.20%,No
EGFR,1,1,508,0.20%,Yes
SLITRK5,1,1,508,0.20%,No
AURKB,1,1,406,0.20%,Yes
PPL,1,1,508,0.20%,No
PHF1,1,1,508,0.20%,Yes
RAD51B,1,1,218,0.50%,Yes
NBN,2,2,413,0.50%,Yes
TP53,19,17,508,3.30%,Yes
NCOR1,2,2,214,0.90%,Yes
TOM1L2,1,1,508,0.20%,No
TOP1,1,1,208,0.50%,Yes
SUZ12,1,1,387,0.30%,Yes
KMT2D,1,1,406,0.20%,Yes
ZFHX3,1,1,168,0.60%,Yes
KDM5A,1,1,290,0.30%,Yes
ALG14,1,1,508,0.20%,No
TLK2,1,1,508,0.20%,No
NSD3,1,1,232,0.40%,Yes
POLQ,1,1,104,1.00%,Yes
RB1,13,13,506,2.60%,Yes
FTCD,1,1,508,0.20%,No
