Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
HGF,,1,1,67,1.50%,Yes
PTPN11,,2,2,88,2.30%,Yes
SMARCB1,,2,1,89,1.10%,Yes
EPAS1,,1,1,29,3.40%,Yes
NECTIN4,,1,1,7,14.30%,No
EP300,,1,1,81,1.20%,Yes
IGF2R,,1,1,11,9.10%,No
IGF1R,,1,1,80,1.30%,Yes
ATM,,1,1,89,1.10%,Yes
MLH1,,1,1,89,1.10%,Yes
ZFHX4,,1,1,11,9.10%,No
ACVR1,,1,1,69,1.40%,Yes
CDH1,,1,1,89,1.10%,Yes
BCL2L12,,1,1,24,4.20%,No
RRAS2,,1,1,40,2.50%,Yes
PMS2,,1,1,59,1.70%,Yes
PRF1,,1,1,13,7.70%,Yes
INPP4B,,1,1,70,1.40%,Yes
NSD1,,1,1,63,1.60%,Yes
EPHA5,,1,1,72,1.40%,Yes
EPHA3,,1,1,72,1.40%,Yes
FBXW7,,3,3,89,3.40%,Yes
BCOR,,4,4,80,5.00%,Yes
AR,,2,1,81,1.20%,Yes
NOTCH1,,4,3,89,3.40%,Yes
POLB,,1,1,7,14.30%,No
MAP3K1,,1,1,82,1.20%,Yes
NOTCH2,,4,4,73,5.50%,Yes
NOTCH3,,4,4,63,6.30%,Yes
PTPRD,,1,1,59,1.70%,Yes
POLH,,1,1,7,14.30%,No
EMSY,,1,1,13,7.70%,Yes
MSH6,,1,1,81,1.20%,Yes
MDM4,,1,1,80,1.30%,Yes
ROS1,,4,4,84,4.80%,Yes
IKBKE,,1,1,66,1.50%,Yes
TNFRSF11A,,1,1,2,50.00%,Yes
NT5C2,,1,1,19,5.30%,Yes
ABL1,,1,1,88,1.10%,Yes
BAP1,,1,1,81,1.20%,Yes
SOS1,,3,1,47,2.10%,Yes
RECQL4,,5,4,55,7.30%,Yes
HELQ,,1,1,7,14.30%,No
STAT3,,1,1,65,1.50%,Yes
FANCD2,,1,1,14,7.10%,Yes
FANCC,,1,1,79,1.30%,Yes
HRAS,,2,2,88,2.30%,Yes
ANKRD11,,1,1,40,2.50%,Yes
CCND2,,1,1,81,1.20%,Yes
TCF3,,1,1,55,1.80%,Yes
EPHB1,,1,1,66,1.50%,Yes
FLT3,,1,1,89,1.10%,Yes
RPTOR,,2,2,73,2.70%,Yes
KMT2B,,2,2,40,5.00%,Yes
RAD50,,1,1,73,1.40%,Yes
CHEK2,,2,2,80,2.50%,Yes
ARID1A,,3,3,81,3.70%,Yes
MRE11,,1,1,74,1.40%,Yes
PIK3R2,,1,1,67,1.50%,Yes
PRKAR1A,,1,1,79,1.30%,Yes
TMPRSS2,,1,1,63,1.60%,Yes
SDHA,,1,1,67,1.50%,Yes
ERBB4,,3,3,88,3.40%,Yes
ERBB3,,1,1,83,1.20%,Yes
PIK3CA,,7,7,89,7.90%,Yes
ARID1B,,3,3,79,3.80%,Yes
GLI1,,1,1,65,1.50%,Yes
PTEN,,6,5,89,5.60%,Yes
CIC,,1,1,74,1.40%,Yes
ATR,,1,1,75,1.30%,Yes
BUB1B,,1,1,13,7.70%,Yes
AKT3,,1,1,84,1.20%,Yes
ASXL1,,2,2,80,2.50%,Yes
AMER1,,1,1,66,1.50%,Yes
PTCH1,,1,1,81,1.20%,Yes
KMT2C,,1,1,58,1.70%,Yes
DICER1,,2,2,78,2.60%,Yes
WRN,,1,1,24,4.20%,Yes
TSHZ2,,1,1,11,9.10%,No
NF2,,2,2,80,2.50%,Yes
STK11,,1,1,89,1.10%,Yes
PGBD3,,1,1,89,1.10%,No
NRAS,,6,6,89,6.70%,Yes
TSC1,,1,1,84,1.20%,Yes
DYNC1I1,,1,1,11,9.10%,No
HSP90AA1,,4,1,2,50.00%,Yes
ERCC6,,3,3,7,42.90%,No
FAT1,,1,1,61,1.60%,Yes
ERCC5,,1,1,56,1.80%,Yes
JAK2,,1,1,89,1.10%,Yes
CDC73,,1,1,80,1.30%,Yes
BRCA2,,2,2,84,2.40%,Yes
CTNNB1,,1,1,89,1.10%,Yes
NEIL3,,2,2,7,28.60%,No
ERCC2,,1,1,69,1.40%,Yes
AXL,,2,2,80,2.50%,Yes
NF1,,6,5,84,6.00%,Yes
GBA,,1,1,7,14.30%,No
DDR2,,2,2,83,2.40%,Yes
GRIN2A,,1,1,66,1.50%,Yes
KEAP1,,1,1,81,1.20%,Yes
PRKDC,,4,1,25,4.00%,Yes
MAPK1,,1,1,79,1.30%,Yes
PAX5,,1,1,80,1.30%,Yes
MECOM,,2,2,14,14.30%,Yes
SPEN,,1,1,66,1.50%,Yes
ETV6,,1,1,80,1.30%,Yes
TLL2,,1,1,1,100.00%,Yes
KDM6B,,1,1,6,16.70%,No
DNMT3A,,1,1,81,1.20%,Yes
LRP1B,,1,1,12,8.30%,Yes
BCL11B,,1,1,9,11.10%,Yes
CDKN1B,,1,1,80,1.30%,Yes
DNM2,,1,1,1,100.00%,Yes
APC,,2,2,88,2.30%,Yes
CREBBP,,2,2,81,2.50%,Yes
MTOR,,1,1,83,1.20%,Yes
TET1,,2,2,51,3.90%,Yes
ARID2,,1,1,79,1.30%,Yes
MYOD1,,6,6,54,11.10%,Yes
TSC2,,4,4,84,4.80%,Yes
RINT1,,1,1,7,14.30%,No
KRAS,,4,4,89,4.50%,Yes
SETD2,,1,1,79,1.30%,Yes
EXT2,,1,1,13,7.70%,Yes
DIS3,,1,1,68,1.50%,Yes
DOCK8,,1,1,7,14.30%,No
CSF1R,,2,2,81,2.50%,Yes
SMO,,1,1,88,1.10%,Yes
PTPRT,,1,1,54,1.90%,Yes
PIK3R3,,1,1,43,2.30%,Yes
RAC1,,1,1,61,1.60%,Yes
AURKB,,1,1,80,1.30%,Yes
KDM5C,,1,1,78,1.30%,Yes
MITF,,1,1,80,1.30%,Yes
TP53,,18,17,89,19.10%,Yes
RAF1,,2,2,81,2.50%,Yes
FGFR4,,6,4,84,4.80%,Yes
FGFR2,,1,1,89,1.10%,Yes
COL7A1,,2,2,7,28.60%,No
FGFR1,,3,3,89,3.40%,Yes
RBM10,,1,1,61,1.60%,Yes
KMT2D,,3,3,68,4.40%,Yes
ZFHX3,,1,1,51,2.00%,Yes
GNAS,,3,1,88,1.10%,Yes
KDM5A,,1,1,74,1.40%,Yes
RAD21,,1,1,65,1.50%,Yes
CBL,,1,1,80,1.30%,Yes
VHL,,1,1,89,1.10%,Yes
MSH2,,1,1,81,1.20%,Yes
RB1,,4,3,89,3.40%,Yes
BCL10,,1,1,42,2.40%,Yes
