Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
MYC,,5,5,306,1.60%,Yes
FOXP1,,2,2,229,0.90%,Yes
CLTC,,3,2,14,14.30%,Yes
ZFHX4,,2,1,7,14.30%,No
FLCN,,2,2,298,0.70%,Yes
INPP4A,,7,7,215,3.30%,Yes
MYBL1,,1,1,68,1.50%,No
INPPL1,,4,4,144,2.80%,Yes
ECT2L,,1,1,22,4.50%,Yes
ASH2L,,1,1,7,14.30%,No
CHD2,,1,1,19,5.30%,Yes
CHD1,,1,1,7,14.30%,No
FANCI,,2,2,43,4.70%,No
H3F3C,,1,1,215,0.50%,Yes
ID4,,1,1,27,3.70%,No
NOTCH1,,18,14,319,4.40%,Yes
MYCL,,1,1,301,0.30%,Yes
INSR,,5,4,219,1.80%,Yes
NOTCH2,,11,11,298,3.70%,Yes
NOTCH3,,10,9,266,3.40%,Yes
MYCN,,5,5,305,1.60%,Yes
NOTCH4,,4,3,228,1.30%,Yes
CTCF,,4,3,264,1.10%,Yes
MYD88,,2,2,302,0.70%,Yes
NT5C2,,2,2,57,3.50%,Yes
IRF4,,2,2,240,0.80%,Yes
IDH1,,1,1,316,0.30%,Yes
ANKRD11,,4,4,187,2.10%,Yes
HNF1A,,4,4,314,1.30%,Yes
STK40,,1,1,215,0.50%,Yes
PSMD13,,1,1,34,2.90%,No
USP28,,2,2,27,7.40%,No
TCF3,,2,2,273,0.70%,Yes
FLT4,,9,9,297,3.00%,Yes
CD274,,2,2,301,0.70%,Yes
FLT3,,9,8,318,2.50%,Yes
RPTOR,,2,2,264,0.80%,Yes
CHEK1,,3,3,268,1.10%,Yes
FLT1,,10,8,302,2.60%,Yes
VTCN1,,1,1,215,0.50%,Yes
CALR,,3,2,233,0.90%,Yes
TBX3,,2,2,235,0.90%,Yes
IDH2,,5,5,313,1.60%,Yes
MYH9,,1,1,11,9.10%,Yes
NPM1,,1,1,313,0.30%,Yes
KDR,,9,9,317,2.80%,Yes
CTNNA1,,1,1,48,2.10%,Yes
NEGR1,,2,2,209,1.00%,Yes
PTEN,,10,9,319,2.80%,Yes
TCF12,,1,1,11,9.10%,Yes
PLK2,,2,2,215,0.90%,Yes
CDH4,,2,2,27,7.40%,No
BUB1B,,1,1,72,1.40%,Yes
KCNQ1,,1,1,27,3.70%,No
RECQL,,3,3,144,2.10%,Yes
IRS1,,3,3,215,1.40%,Yes
CD36,,2,2,11,18.20%,Yes
TCF7L2,,3,3,256,1.20%,Yes
MAP2K2,,2,2,268,0.70%,Yes
PTCH1,,7,7,305,2.30%,Yes
KMT2C,,13,10,229,4.40%,Yes
NF2,,5,5,305,1.60%,Yes
NRAS,,9,9,319,2.80%,Yes
