Gene,# Structural Variant,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
ROS1,6,6,37,16.20%,Yes
TRAF3,1,1,13,7.70%,Yes
PPFIBP1,1,1,37,2.70%,Yes
RNU6-649P,1,1,37,2.70%,No
COL3A1,1,1,37,2.70%,No
ATIC,1,1,2,50.00%,Yes
SPECC1L-ADORA2A,1,1,37,2.70%,No
ALK,17,15,37,40.50%,Yes
PDGFRB,1,1,36,2.80%,Yes
PKM,1,1,37,2.70%,No
GASK1A,1,1,37,2.70%,No
DCTN1,1,1,37,2.70%,Yes
KIF5B,1,1,2,50.00%,Yes
NRP2,2,2,37,5.40%,No
RAF1,1,1,36,2.80%,Yes
EML4,3,3,4,75.00%,Yes
ETV6,2,2,36,5.60%,Yes
LATS2,1,1,13,7.70%,Yes
USP6,1,1,2,50.00%,Yes
NTRK3,2,2,36,5.60%,Yes
FN1,1,1,3,33.30%,No
NOTCH1,1,1,37,2.70%,Yes
CAPN1,1,1,37,2.70%,No
TFG,6,6,2,300.00%,Yes
RANBP2,2,2,2,100.00%,Yes
