Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
CCNE1,,19q12,AMP,1,9,11.10%,Yes
TNFAIP3,,6q23.3,HOMDEL,1,9,11.10%,Yes
SDHA,,5p15.33,AMP,1,9,11.10%,Yes
RAC1,,7p22.1,AMP,1,8,12.50%,Yes
TERT,,5p15.33,AMP,1,9,11.10%,Yes
FGFR3,,4p16.3,HOMDEL,1,9,11.10%,Yes
CDKN2A,,9p21.3,HOMDEL,1,9,11.10%,Yes
SMARCD1,,12q13.12,HOMDEL,1,6,16.70%,Yes
NSD2,,4p16.3,HOMDEL,1,8,12.50%,Yes
KMT2D,,12q13.12,HOMDEL,1,9,11.10%,Yes
IFNGR1,,6q23.3,HOMDEL,1,6,16.70%,Yes
ARID2,,12q12,HOMDEL,1,9,11.10%,Yes
CDKN2B,,9p21.3,HOMDEL,1,9,11.10%,Yes
ETV1,,7p21.2,AMP,1,9,11.10%,Yes
PMS2,,7p22.1,AMP,1,9,11.10%,Yes
PTPRD,,9p24.1-p23,HOMDEL,1,7,14.30%,Yes
