Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
RAC2,,22q13.1,HOMDEL,1,4,25.00%,Yes
CRKL,,22q11.21,HOMDEL,1,10,10.00%,Yes
CDK4,,12q14.1,AMP,1,10,10.00%,Yes
SMARCB1,,22q11.23|22q11,HOMDEL,1,10,10.00%,Yes
SOX17,,8q11.23,HOMDEL,1,7,14.30%,Yes
EP300,,22q13.2,HOMDEL,1,10,10.00%,Yes
YES1,,18p11.32,AMP,1,7,14.30%,Yes
CRLF2,,Xp22.33 and Yp11.2,AMP,1,10,10.00%,Yes
CDKN2A,,9p21.3,HOMDEL,2,10,20.00%,Yes
CHEK2,,22q12.1,HOMDEL,1,9,11.10%,Yes
PTPN6,,12p13.31,AMP,1,10,10.00%,Yes
MAPK1,,22q11.22,HOMDEL,1,8,12.50%,Yes
BTG1,,12q21.33,AMP,1,2,50.00%,Yes
CDKN2B,,9p21.3,HOMDEL,2,9,22.20%,Yes
LYN,,8q12.1,HOMDEL,1,5,20.00%,Yes
NF2,,22q12.2,HOMDEL,1,10,10.00%,Yes
SOCS2,,12q22,AMP,1,10,10.00%,Yes
