Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
KIT,,4q12,AMP,1,4,25.00%,Yes
CDK4,,12q14.1,AMP,1,4,25.00%,Yes
EPHA5,,4q13.1-q13.2,AMP,1,4,25.00%,Yes
DICER1,,14q32.13,AMP,1,4,25.00%,Yes
H3F3C,,12p11.21,AMP,1,3,33.30%,Yes
KRAS,,12p12.1,AMP,2,4,50.00%,Yes
CCND2,,12p13.32,AMP,1,4,25.00%,Yes
MDM2,,12q15,AMP,1,4,25.00%,Yes
RECQL,,12p12.1,AMP,1,3,33.30%,Yes
AKT1,,14q32.33,AMP,1,4,25.00%,Yes
GLI1,,12q13.3,AMP,1,4,25.00%,Yes
CDKN2A,,9p21.3,HOMDEL,1,4,25.00%,Yes
PDGFRA,,4q12,AMP,1,4,25.00%,Yes
PIK3C2G,,12p12.3,AMP,1,3,33.30%,Yes
CDKN2B,,9p21.3,HOMDEL,1,4,25.00%,Yes
KDR,,4q12,AMP,1,4,25.00%,Yes
FAT1,,4q35.2,HOMDEL,1,3,33.30%,Yes
