Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
HGF,,1,1,65,1.50%,Yes
KMT2A,,3,2,75,2.70%,Yes
SMARCA4,,1,1,75,1.30%,Yes
STK11,,1,1,80,1.30%,Yes
SMARCB1,,2,2,80,2.50%,Yes
DYNC1I1,,1,1,3,33.30%,No
EP300,,2,2,74,2.70%,Yes
ERCC6,,1,1,6,16.70%,No
FAT1,,1,1,67,1.50%,Yes
IGF2R,,1,1,5,20.00%,No
ATM,,2,2,80,2.50%,Yes
GATA2,,1,1,71,1.40%,Yes
MYC,,1,1,75,1.30%,Yes
BRCA2,,3,3,75,4.00%,Yes
NEIL3,,3,1,6,16.70%,No
ALK,,3,3,80,3.80%,Yes
NF1,,1,1,75,1.30%,Yes
SRSF2,,1,1,64,1.60%,Yes
SPOP,,1,1,71,1.40%,Yes
FOXO1,,1,1,55,1.80%,Yes
GATA6,,1,1,10,10.00%,Yes
LATS1,,1,1,57,1.80%,Yes
POT1,,1,1,12,8.30%,Yes
TERT,,4,4,73,5.50%,Yes
MEN1,,1,1,75,1.30%,Yes
LATS2,,1,1,57,1.80%,Yes
PRKN,,1,1,70,1.40%,Yes
WT1,,1,1,75,1.30%,Yes
MCM8,,1,1,6,16.70%,No
CDKN2A,,2,2,80,2.50%,Yes
ETV4,,1,1,12,8.30%,Yes
FAAP100,,1,1,6,16.70%,No
AR,,1,1,75,1.30%,Yes
ETV1,,1,1,68,1.50%,Yes
ARID5B,,1,1,60,1.70%,Yes
APC,,1,1,80,1.30%,Yes
FANCI,,1,1,8,12.50%,No
ARID2,,1,1,74,1.40%,Yes
MYCL,,1,1,72,1.40%,Yes
TSC2,,1,1,75,1.30%,Yes
NOTCH2,,3,3,71,4.20%,Yes
POLE,,1,1,67,1.50%,Yes
MAP3K5,,1,1,3,33.30%,No
NOTCH4,,1,1,59,1.70%,Yes
SETD2,,5,5,74,6.80%,Yes
MDM4,,2,2,75,2.70%,Yes
ROS1,,1,1,74,1.40%,Yes
TRAF3,,1,1,11,9.10%,Yes
BAP1,,1,1,75,1.30%,Yes
NSD2,,1,1,51,2.00%,Yes
FANCC,,1,1,74,1.40%,Yes
RICTOR,,1,1,72,1.40%,Yes
MDM2,,1,1,75,1.30%,Yes
KIT,,2,1,80,1.30%,Yes
CD274,,1,1,74,1.40%,Yes
FLT3,,1,1,80,1.30%,Yes
PDGFRB,,2,2,75,2.70%,Yes
CHEK2,,1,1,75,1.30%,Yes
SLX4,,1,1,43,2.30%,Yes
RARA,,1,1,75,1.30%,Yes
ARID1A,,4,4,75,5.30%,Yes
MRE11,,1,1,72,1.40%,Yes
NBN,,1,1,71,1.40%,Yes
TP53,,3,3,80,3.80%,Yes
PMS1,,1,1,70,1.40%,Yes
PBRM1,,5,5,74,6.80%,Yes
FGFR3,,1,1,80,1.30%,Yes
PIK3CA,,4,4,80,5.00%,Yes
RBM10,,1,1,67,1.50%,Yes
CRLF2,,1,1,72,1.40%,Yes
KMT2D,,3,3,71,4.20%,Yes
ARID1B,,2,2,73,2.70%,Yes
NTRK1,,1,1,75,1.30%,Yes
PTEN,,2,2,80,2.50%,Yes
ZFHX3,,2,2,52,3.80%,Yes
NTRK2,,1,1,75,1.30%,Yes
CUX1,,2,2,14,14.30%,Yes
INHBA,,1,1,55,1.80%,Yes
HLA-B,,1,1,37,2.70%,Yes
DDB1,,1,1,6,16.70%,No
PLAG1,,2,1,5,20.00%,Yes
MED12,,3,3,71,4.20%,Yes
AKT3,,1,1,75,1.30%,Yes
CBL,,3,3,75,4.00%,Yes
VHL,,1,1,80,1.30%,Yes
MSH2,,2,2,75,2.70%,Yes
PTPRS,,1,1,57,1.80%,Yes
ASXL1,,1,1,74,1.40%,Yes
AMER1,,1,1,65,1.50%,Yes
GLI2,,1,1,12,8.30%,No
PTCH1,,1,1,75,1.30%,Yes
