Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
MAP3K9,,1,1,2,50.00%,No
CUL3,,1,1,9,11.10%,Yes
NRAS,,1,1,14,7.10%,Yes
EP300,,1,1,14,7.10%,Yes
RICTOR,,2,2,13,15.40%,Yes
FAT1,,2,2,11,18.20%,Yes
H3F3A,,3,3,14,21.40%,Yes
MGA,,2,2,10,20.00%,Yes
ANKRD11,,2,2,6,33.30%,Yes
BRCA1,,1,1,14,7.10%,Yes
SMO,,1,1,14,7.10%,Yes
HNF1A,,1,1,14,7.10%,Yes
GALNT12,,1,1,2,50.00%,No
CCND2,,1,1,13,7.70%,Yes
TCF3,,1,1,10,10.00%,Yes
BRCA2,,1,1,14,7.10%,Yes
FUS,,1,1,6,16.70%,Yes
E2F3,,1,1,7,14.30%,Yes
UBR5,,1,1,1,100.00%,Yes
FLT1,,1,1,14,7.10%,Yes
AXL,,1,1,14,7.10%,Yes
NF1,,1,1,14,7.10%,Yes
GBA,,1,1,2,50.00%,No
ABRAXAS1,,2,2,9,22.20%,Yes
ARID1A,,1,1,14,7.10%,Yes
PMS2,,3,2,10,20.00%,Yes
PRF1,,1,1,4,25.00%,Yes
TP53,,2,2,14,14.30%,Yes
PMS1,,1,1,12,8.30%,Yes
TAF15,,1,1,1,100.00%,Yes
ERBB2,,1,1,14,7.10%,Yes
PIK3CA,,1,1,14,7.10%,Yes
PDPK1,,1,1,7,14.30%,Yes
KMT2D,,1,1,12,8.30%,Yes
NTRK1,,1,1,14,7.10%,Yes
ZFHX3,,1,1,8,12.50%,Yes
APC,,4,4,14,28.60%,Yes
CDH4,,1,1,2,50.00%,No
TET1,,1,1,9,11.10%,Yes
MED12,,1,1,13,7.70%,Yes
NOTCH2,,1,1,12,8.30%,Yes
SSX2,,1,1,1,100.00%,Yes
VHL,,1,1,14,7.10%,Yes
MSH2,,1,1,14,7.10%,Yes
POLQ,,1,1,4,25.00%,Yes
RB1,,1,1,14,7.10%,Yes
