Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
KANTR	2	2	4512	<0.1%	No
RNU6-649P	1	1	4512	<0.1%	No
GABPA	1	1	4512	<0.1%	No
FIP1L1	1	1	101	1.0%	Yes
HMGA2	5	5	353	1.4%	Yes
DUX4	8	8	13	61.5%	No
XRCC6	1	1	660	0.2%	No
STK32A	1	1	4512	<0.1%	No
FOXP1	3	3	2863	0.1%	Yes
ANKS1B	1	1	4512	<0.1%	No
CLTC	1	1	137	0.7%	Yes
TPH2	1	1	4512	<0.1%	No
INPP4A	3	3	2507	0.1%	Yes
MALT1	2	2	2418	<0.1%	Yes
TBCA	1	1	4512	<0.1%	No
TAZ	1	1	660	0.2%	No
H19	1	1	4512	<0.1%	No
FOXO1	32	30	2725	1.1%	Yes
INPPL1	1	1	1747	<0.1%	Yes
YAP1	7	7	3382	0.2%	Yes
SLC16A7	1	1	4512	<0.1%	No
TSEN2	1	1	4512	<0.1%	No
FOXJ3	1	1	4512	<0.1%	No
TLX3	1	1	697	0.1%	Yes
GNS	1	1	4512	<0.1%	No
LINC00114	1	1	4512	<0.1%	No
FLI1	167	165	89	185.4%	Yes
INSR	1	1	2557	<0.1%	Yes
CTCF	2	2	3554	<0.1%	Yes
EIF3E	1	1	4512	<0.1%	Yes
TSBP1	1	1	4512	<0.1%	No
KCNE4	1	1	4512	<0.1%	No
IRF4	1	1	2965	<0.1%	Yes
ARHGEF26-AS1	1	1	4512	<0.1%	No
ADNP2	1	1	4512	<0.1%	No
MTAP	2	2	693	0.3%	Yes
RNFT2	1	1	4512	<0.1%	No
CEP89	1	1	4512	<0.1%	No
CSTF2	1	1	4512	<0.1%	No
GABRG3	1	1	4512	<0.1%	No
TCF3	2	2	3572	<0.1%	Yes
FLT4	7	6	4002	0.1%	Yes
FLT3	1	1	4507	<0.1%	Yes
RPTOR	2	2	3554	<0.1%	Yes
ELOC	1	1	3129	<0.1%	Yes
ANO1	1	1	4512	<0.1%	No
IRAK2	1	1	4512	<0.1%	No
NELL1	3	3	4512	<0.1%	No
TBX3	2	2	2827	<0.1%	Yes
IDH2	2	2	4345	<0.1%	Yes
PERP	1	1	4512	<0.1%	No
SPRED1	1	1	1963	<0.1%	Yes
NEUROD1	1	1	4512	<0.1%	No
R3HDM2	2	2	4512	<0.1%	No
ACSBG2	1	1	4512	<0.1%	No
IFNG-AS1	1	1	4512	<0.1%	No
MYH14	1	1	4512	<0.1%	No
FN1	2	2	58	3.4%	No
STYK1	1	1	4512	<0.1%	No
CENPW	1	1	4512	<0.1%	No
CDH4	2	2	660	0.3%	No
CANX	1	1	4512	<0.1%	No
CLMN	1	1	4512	<0.1%	No
CAPN1	1	1	4512	<0.1%	No
OR3A2	1	1	4512	<0.1%	No
MRPS30	1	1	4512	<0.1%	No
MAP2K1	4	4	4128	<0.1%	Yes
MAP2K2	1	1	3649	<0.1%	Yes
MAP2K3	1	1	4512	<0.1%	No
ZNF652	1	1	4512	<0.1%	No
LONRF1	1	1	4512	<0.1%	No
NF2	5	5	4088	0.1%	Yes
NFATC2	3	3	4512	<0.1%	Yes
CDK6	1	1	4084	<0.1%	Yes
CSMD3	1	1	58	1.7%	No
FANCL	1	1	990	0.1%	Yes
FAM222A	1	1	4512	<0.1%	No
CDK4	16	14	4086	0.3%	Yes
CDC73	2	2	4034	<0.1%	Yes
SULT1B1	1	1	4512	<0.1%	No
CTNNB1	5	5	4511	0.1%	Yes
CAPZB	1	1	4512	<0.1%	No
NF1	27	27	4145	0.7%	Yes
ITGB5	1	1	4512	<0.1%	No
MIR-3974/3974	1	1	4512	<0.1%	No
MYO1F	1	1	4512	<0.1%	No
CDKN2C	1	1	4003	<0.1%	Yes
ETV6	16	16	3994	0.4%	Yes
CDKN2B	1	1	4042	<0.1%	Yes
WRAP53	5	5	4512	0.1%	No
CDKN2A	13	13	4502	0.3%	Yes
ETV4	1	1	1335	<0.1%	Yes
ARID5A	1	1	8	12.5%	Yes
GOLGA6L9	1	1	4512	<0.1%	No
CDKN1C	1	1	1102	<0.1%	No
CDKN1B	1	1	4036	<0.1%	Yes
CDKN1A	2	2	3844	<0.1%	Yes
ETV1	1	1	3751	<0.1%	Yes
