Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
COP1		1q25.1-q25.2	AMP	1	31	3.2%	Yes
TP53		17p13.1	HOMDEL	6	43	14.0%	Yes
AURKB		17p13.1	HOMDEL	1	43	2.3%	Yes
TERT		5p15.33	AMP	1	42	2.4%	Yes
HIST1H3C		6p22.2	HOMDEL	1	34	2.9%	Yes
CDKN1B		12p13.1	HOMDEL	1	43	2.3%	Yes
CCND2		12p13.32	HOMDEL	1	43	2.3%	Yes
NBN		8q21.3	AMP	1	42	2.4%	Yes
ELOC		8q21.11	AMP	1	34	2.9%	Yes
IKBKE		1q32.1	AMP	1	25	4.0%	Yes
ELF3		1q32.1	AMP	1	19	5.3%	Yes
MDM4		1q32.1	AMP	1	42	2.4%	Yes
NUF2		1q23.3	AMP	1	19	5.3%	Yes
MEF2B		19p13.11	AMP	1	42	2.4%	Yes
BRCA2		13q13.1	HOMDEL	1	43	2.3%	Yes
NOTCH1		9q34.3	HOMDEL	1	43	2.3%	Yes
SDHC		1q23.3	AMP	1	42	2.4%	Yes
HIST1H3H		6p22.1	HOMDEL	1	23	4.3%	Yes
CRLF2		Xp22.33 and Yp11.2	HOMDEL	1	43	2.3%	Yes
CDKN2B		9p21.3	HOMDEL	2	42	4.8%	Yes
NTRK1		1q23.1	AMP	1	43	2.3%	Yes
ETV6		12p13.2	HOMDEL	1	43	2.3%	Yes
MAP2K4		17p12	AMP	2	42	4.8%	Yes
CDK4		12q14.1	AMP	1	43	2.3%	Yes
BCOR		Xp11.4	AMP	1	43	2.3%	Yes
MDM2		12q15	AMP	1	43	2.3%	Yes
HIST1H3E		6p22.2	HOMDEL	1	23	4.3%	Yes
FGFR2		10q26.13	HOMDEL	1	43	2.3%	Yes
PREX2		8q13.2	AMP	1	19	5.3%	Yes
MSI2		17q22	HOMDEL	1	20	5.0%	Yes
RAD21		8q24.11	AMP	1	40	2.5%	Yes
SMO		7q32.1	HOMDEL	1	42	2.4%	Yes
PRAME		22q11.22	HOMDEL	1	6	16.7%	No
TRAF2		9q34.3	HOMDEL	1	24	4.2%	Yes
NFKBIA		14q13.2	HOMDEL	2	40	5.0%	Yes
RB1		13q14.2	HOMDEL	9	43	20.9%	Yes
CXCR4		2q22.1	HOMDEL	1	35	2.9%	Yes
POLE		12q24.33	AMP	1	36	2.8%	Yes
RECQL4		8q24.3	AMP	1	41	2.4%	Yes
RNF43		17q22	HOMDEL	1	36	2.8%	Yes
MYC		8q24.21	AMP	1	43	2.3%	Yes
SOS1		2p22.1	HOMDEL	1	30	3.3%	Yes
HIST1H3B		6p22.2	HOMDEL	1	36	2.8%	Yes
ANKRD11		16q24.3	HOMDEL	1	23	4.3%	Yes
BCL2		18q21.33	AMP	1	43	2.3%	Yes
MSH2		2p21-p16.3	HOMDEL	1	43	2.3%	Yes
CDKN2C		1p32.3	HOMDEL	1	42	2.4%	Yes
EZH2		7q36.1	HOMDEL	1	42	2.4%	Yes
FH		1q43	AMP	1	42	2.4%	Yes
SMYD3		1q44	AMP	1	19	5.3%	Yes
