Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
TDG		12q23.3	AMP	1	576	0.2%	No
STAT6		12q13.3	AMP	12	1018	1.2%	Yes
BCOR		Xp11.4	HOMDEL	11	2930	0.4%	Yes
FANCE		6p21.31	AMP	1	1003	<0.1%	Yes
PMS2		7p22.1	HOMDEL	4	2946	0.1%	Yes
ARID1A		1p36.11	HOMDEL	9	2946	0.3%	Yes
SHOC2		10q25.2	HOMDEL	2	1385	0.1%	Yes
HIST1H3C		6p22.2	HOMDEL	5	2346	0.2%	Yes
FGFR2		10q26.13	AMP	5	2946	0.2%	Yes
PAX5		9p13.2	HOMDEL	11	2930	0.4%	Yes
PAK5		20p12.2	AMP	1	1972	<0.1%	Yes
DICER1		14q32.13	HOMDEL	5	2833	0.2%	Yes
MST1R		3p21.31	HOMDEL	9	1777	0.5%	Yes
XRCC2		7q36.1	AMP	1	2353	<0.1%	Yes
SYK		9q22.2	HOMDEL	2	2354	<0.1%	Yes
IGF1		12q23.2	HOMDEL	1	1972	<0.1%	Yes
MET		7q31.2	HOMDEL	1	2946	<0.1%	Yes
ATM		11q22.3	AMP	3	2946	0.1%	Yes
SRSF2		17q25.1	AMP	10	2765	0.4%	Yes
FAS		10q23.31	HOMDEL	4	1003	0.4%	Yes
NFKBIA		14q13.2	AMP	9	2775	0.3%	Yes
LMO2		11p13	AMP	2	955	0.2%	Yes
ENG		9q34.11	AMP	3	576	0.5%	No
NBN		8q21.3	AMP	12	2922	0.4%	Yes
PTPRT		20q12-q13.11	AMP	4	1895	0.2%	Yes
NUF2		1q23.3	AMP	20	1385	1.4%	Yes
EME1		17q21.33	AMP	1	576	0.2%	No
FGFR4		5q35.2	AMP	14	2946	0.5%	Yes
XRCC3		14q32.33	AMP	1	646	0.2%	No
POLD1		19q13.33	AMP	2	2354	<0.1%	Yes
GRIN2A		16p13.2	AMP	6	1973	0.3%	Yes
ELF3		1q32.1	HOMDEL	4	1385	0.3%	Yes
NCOR1		17p12-p11.2	HOMDEL	1	1972	<0.1%	Yes
LMO1		11p15.4	AMP	2	2928	<0.1%	Yes
FANCC		9q22.32	AMP	5	2907	0.2%	Yes
MSI1		12q24.31	AMP	3	1385	0.2%	Yes
STAT5A		17q21.2	HOMDEL	2	1830	0.1%	Yes
RYBP		3p13	HOMDEL	2	1895	0.1%	Yes
FGFR3		4p16.3	AMP	8	2946	0.3%	Yes
MTAP		9p21.3	HOMDEL	22	601	3.7%	Yes
LMO1		11p15.4	HOMDEL	1	2928	<0.1%	Yes
ID3		1p36.12	AMP	2	2767	<0.1%	Yes
PDCD1LG2		9p24.1	AMP	11	2404	0.5%	Yes
JAK3		19p13.11	HOMDEL	2	2946	<0.1%	Yes
RAD21		8q24.11	AMP	21	2767	0.8%	Yes
HLA-B		6p21.33	HOMDEL	1	1390	<0.1%	Yes
IRF4		6p25.3	HOMDEL	19	1998	1.0%	Yes
NR0B1		Xp21.2	HOMDEL	1	576	0.2%	No
SUFU		10q24.32	AMP	1	2907	<0.1%	Yes
MEN1		11q13.1	AMP	1	2930	<0.1%	Yes
EPHA5		4q13.1-q13.2	AMP	6	2329	0.3%	Yes
FANCD2		3p25.3	AMP	2	1026	0.2%	Yes
ERCC2		19q13.32	AMP	5	2913	0.2%	Yes
AR		Xq12	AMP	7	2946	0.2%	Yes
STAG2		Xq25	HOMDEL	10	2907	0.3%	Yes
POLE		12q24.33	AMP	3	2495	0.1%	Yes
IL7R		5p13.2	HOMDEL	1	2549	<0.1%	Yes
NKX2-1		14q13.3	HOMDEL	8	2930	0.3%	Yes
HRAS		11p15.5	AMP	9	2923	0.3%	Yes
CCND1		11q13.3	HOMDEL	3	2946	0.1%	Yes
SOS1		2p22.1	HOMDEL	1	1961	<0.1%	Yes
PTPN6		12p13.31	AMP	1	56	1.8%	Yes
CRTC1		19p13.11	HOMDEL	1	932	0.1%	Yes
SESN1		6q21	AMP	5	1385	0.4%	Yes
CD276		15q24.1	AMP	1	1895	<0.1%	Yes
TP63		3q28	HOMDEL	2	1978	0.1%	Yes
SLC25A13		7q21.3	AMP	1	576	0.2%	No
NEGR1		1p31.1	AMP	6	2021	0.3%	Yes
CENPA		2p23.3	HOMDEL	1	1770	<0.1%	Yes
CREBBP		16p13.3	HOMDEL	6	2946	0.2%	Yes
MUTYH		1p34.1	AMP	1	2907	<0.1%	Yes
ERBB3		12q13.2	AMP	22	2923	0.8%	Yes
DNAJB1		19p13.12	HOMDEL	1	1770	<0.1%	Yes
CARM1		19p13.2	AMP	12	1385	0.9%	Yes
DUSP4		8p12	HOMDEL	7	1385	0.5%	Yes
CARM1		19p13.2	HOMDEL	2	1385	0.1%	Yes
IL10		1q32.1	HOMDEL	5	1895	0.3%	Yes
AMER1		Xq11.2	HOMDEL	13	1975	0.7%	Yes
HIST1H3A		6p22.2	HOMDEL	6	1770	0.3%	Yes
PIK3R1		5q13.1	HOMDEL	3	2946	0.1%	Yes
PCLO		7q21.11	AMP	2	56	3.6%	Yes
BTG1		12q21.33	AMP	1	102	1.0%	Yes
CDK6		7q21.2	HOMDEL	1	2946	<0.1%	Yes
SUZ12		17q11.2	HOMDEL	11	2890	0.4%	Yes
GALNT12		9q22.33	HOMDEL	1	581	0.2%	No
CARD11		7p22.2	AMP	31	2907	1.1%	Yes
FGFR1		8p11.23	AMP	48	2946	1.6%	Yes
MST1		3p21.31	AMP	1	1770	<0.1%	Yes
EPHA3		3p11.1	AMP	13	2331	0.6%	Yes
FANCA		16q24.3	AMP	1	2923	<0.1%	Yes
MPL		1p34.2	AMP	8	2907	0.3%	Yes
SMARCD1		12q13.12	AMP	10	1972	0.5%	Yes
DAXX		6p21.32	AMP	4	2551	0.2%	Yes
ERBB4		2q34	AMP	1	2923	<0.1%	Yes
ARAF		Xp11.3	AMP	5	2923	0.2%	Yes
HIST1H3F		6p22.2	HOMDEL	6	1770	0.3%	Yes
KMT2C		7q36.1	HOMDEL	5	1961	0.3%	Yes
RAD51		15q15.1	AMP	1	2567	<0.1%	Yes
PPP6C		9q33.3	AMP	1	1770	<0.1%	Yes
H3F3B		17q25.1	AMP	11	2346	0.5%	Yes
