Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
JAK2		9p24.1	AMP	1	45	2.2%	Yes
STK11		19p13.3	AMP	1	45	2.2%	Yes
TP53		17p13.1	HOMDEL	5	45	11.1%	Yes
PHOX2B		4p13	AMP	1	40	2.5%	Yes
CD79B		17q23.3	AMP	1	44	2.3%	Yes
RET		10q11.21	HOMDEL	2	45	4.4%	Yes
TYK2		19p13.2	AMP	1	4	25.0%	Yes
BABAM1		19p13.11	AMP	2	27	7.4%	Yes
DNAJB1		19p13.12	AMP	3	25	12.0%	Yes
BLM		15q26.1	HOMDEL	1	44	2.3%	Yes
UPF1		19p13.11	AMP	2	19	10.5%	Yes
FGFR2		10q26.13	AMP	2	45	4.4%	Yes
GATA3		10p14	HOMDEL	1	44	2.3%	Yes
FGF19		11q13.3	AMP	1	32	3.1%	Yes
FGF14		13q33.1	AMP	1	4	25.0%	Yes
IDH2		15q26.1	HOMDEL	1	45	2.2%	Yes
SRC		20q11.23	AMP	1	37	2.7%	Yes
GADD45B		19p13.3	AMP	1	4	25.0%	Yes
SRSF2		17q25.1	AMP	1	42	2.4%	Yes
NFKBIA		14q13.2	AMP	2	42	4.8%	Yes
DNM2		19p13.2	AMP	1	4	25.0%	Yes
ELOC		8q21.11	AMP	2	33	6.1%	Yes
SOX9		17q24.3	AMP	1	40	2.5%	Yes
TMPRSS2		21q22.3	AMP	1	39	2.6%	Yes
MEF2B		19p13.11	AMP	3	44	6.8%	Yes
EPHA7		6q16.1	HOMDEL	1	34	2.9%	Yes
CRLF2		Xp22.33 and Yp11.2	AMP	1	44	2.3%	Yes
INPPL1		11q13.4	HOMDEL	1	19	5.3%	Yes
PRKAR1A		17q24.2	AMP	2	44	4.5%	Yes
ELF3		1q32.1	HOMDEL	1	19	5.3%	Yes
FGF3		11q13.3	AMP	1	32	3.1%	Yes
CD276		15q24.1	HOMDEL	1	27	3.7%	Yes
CDKN2B		9p21.3	HOMDEL	1	45	2.2%	Yes
TCF3		19p13.3	AMP	1	42	2.4%	Yes
GNA13		17q24.1	AMP	1	4	25.0%	Yes
NTRK1		1q23.1	AMP	1	45	2.2%	Yes
CDKN2B		9p21.3	AMP	1	45	2.2%	Yes
RHEB		7q36.1	AMP	1	38	2.6%	Yes
CDK4		12q14.1	AMP	1	45	2.2%	Yes
MSI1		12q24.31	AMP	1	19	5.3%	Yes
MDM2		12q15	AMP	1	45	2.2%	Yes
SPRED1		15q14	HOMDEL	1	19	5.3%	Yes
MAP2K1		15q22.31	HOMDEL	1	45	2.2%	Yes
CRTC2		1q21.3	AMP	1	5	20.0%	No
PIK3C2B		1q32.1	AMP	1	13	7.7%	Yes
PDCD1LG2		9p24.1	AMP	1	36	2.8%	Yes
BARD1		2q35	HOMDEL	1	39	2.6%	Yes
CCND1		11q13.3	AMP	1	45	2.2%	Yes
SMAD3		15q22.33	HOMDEL	1	27	3.7%	Yes
IRF4		6p25.3	HOMDEL	2	31	6.5%	Yes
ATRX		Xq21.1	HOMDEL	2	45	4.4%	Yes
ASXL2		2p23.3	HOMDEL	1	27	3.7%	Yes
