Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
TDG		12q23.3	AMP	1	659	0.2%	No
STAT6		12q13.3	AMP	15	1174	1.3%	Yes
BCOR		Xp11.4	HOMDEL	12	3610	0.3%	Yes
FANCE		6p21.31	AMP	3	1152	0.3%	Yes
PMS2		7p22.1	HOMDEL	4	3632	0.1%	Yes
ARID1A		1p36.11	HOMDEL	9	3633	0.2%	Yes
SHOC2		10q25.2	HOMDEL	2	1746	0.1%	Yes
HIST1H3C		6p22.2	HOMDEL	7	2912	0.2%	Yes
FGFR2		10q26.13	AMP	6	3633	0.2%	Yes
PAX5		9p13.2	HOMDEL	13	3611	0.4%	Yes
PAK5		20p12.2	AMP	2	2507	<0.1%	Yes
DICER1		14q32.13	HOMDEL	5	3494	0.1%	Yes
MST1R		3p21.31	HOMDEL	11	2261	0.5%	Yes
XRCC2		7q36.1	AMP	2	2920	<0.1%	Yes
SYK		9q22.2	HOMDEL	2	2951	<0.1%	Yes
IGF1		12q23.2	HOMDEL	2	2507	<0.1%	Yes
MET		7q31.2	HOMDEL	1	3633	<0.1%	Yes
RHOA		3p21.31	AMP	2	3170	<0.1%	Yes
ATM		11q22.3	AMP	4	3633	0.1%	Yes
SRSF2		17q25.1	AMP	10	3396	0.3%	Yes
FAS		10q23.31	HOMDEL	4	1152	0.3%	Yes
NFKBIA		14q13.2	AMP	11	3407	0.3%	Yes
EXT1		8q24.11	AMP	3	1069	0.3%	Yes
LMO2		11p13	AMP	2	1100	0.2%	Yes
ENG		9q34.11	AMP	3	659	0.5%	No
NBN		8q21.3	AMP	17	3600	0.5%	Yes
PTPRT		20q12-q13.11	AMP	4	2418	0.2%	Yes
NUF2		1q23.3	AMP	27	1746	1.5%	Yes
EME1		17q21.33	AMP	1	659	0.2%	No
FGFR4		5q35.2	AMP	18	3633	0.5%	Yes
XRCC3		14q32.33	AMP	1	741	0.1%	No
POLD1		19q13.33	AMP	2	2921	<0.1%	Yes
GRIN2A		16p13.2	AMP	6	2508	0.2%	Yes
ELF3		1q32.1	HOMDEL	4	1746	0.2%	Yes
NCOR1		17p12-p11.2	HOMDEL	2	2507	<0.1%	Yes
LMO1		11p15.4	AMP	2	3608	<0.1%	Yes
FANCC		9q22.32	AMP	9	3579	0.3%	Yes
MSI1		12q24.31	AMP	4	1746	0.2%	Yes
STAT5A		17q21.2	HOMDEL	2	2324	<0.1%	Yes
RYBP		3p13	HOMDEL	5	2418	0.2%	Yes
