Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
MYO18A		1	1	14	7.1%	Yes
FIP1L1		4	3	9	33.3%	Yes
CNOT3		2	2	70	2.9%	Yes
MYC		6	4	803	0.5%	Yes
FOXP1		2	2	647	0.3%	Yes
ZFHX4		2	2	62	3.2%	No
FLCN		1	1	784	0.1%	Yes
INPP4A		4	4	531	0.8%	Yes
RBBP8		3	3	83	3.6%	No
MYB		2	2	250	0.8%	Yes
MYBL1		4	4	202	2.0%	No
RBL2		1	1	54	1.9%	No
FOXO1		2	2	586	0.3%	Yes
INPPL1		4	4	361	1.1%	Yes
YAP1		1	1	676	0.1%	Yes
ECT2L		1	1	22	4.5%	Yes
OGG1		1	1	83	1.2%	No
POT1		2	2	178	1.1%	Yes
MSI2		1	1	369	0.3%	Yes
CHD2		2	2	77	2.6%	Yes
FANCI		3	3	107	2.8%	No
H3F3C		1	1	531	0.2%	Yes
KCNJ5		1	1	8	12.5%	Yes
NOTCH1		17	13	920	1.4%	Yes
MYCL		2	2	766	0.3%	Yes
INSR		7	7	544	1.3%	Yes
NOTCH2		8	7	752	0.9%	Yes
NOTCH3		10	10	700	1.4%	Yes
MYCN		2	2	802	0.2%	Yes
NOTCH4		3	3	571	0.5%	Yes
CTCF		3	3	719	0.4%	Yes
MYD88		3	3	793	0.4%	Yes
PAXIP1		1	1	83	1.2%	No
NT5C2		2	2	167	1.2%	Yes
HELQ		1	1	83	1.2%	No
IRF4		1	1	655	0.2%	Yes
IDH1		41	41	911	4.5%	Yes
ANKRD11		3	3	483	0.6%	Yes
HNF1A		6	6	909	0.7%	Yes
USP28		1	1	83	1.2%	No
TCF3		6	5	661	0.8%	Yes
FLT4		9	9	785	1.1%	Yes
CD274		1	1	781	0.1%	Yes
FLT3		8	8	920	0.9%	Yes
RPTOR		10	10	720	1.4%	Yes
CHEK1		1	1	740	0.1%	Yes
FLT1		6	6	806	0.7%	Yes
CALR		2	2	639	0.3%	Yes
TBX3		2	2	608	0.3%	Yes
IDH2		12	12	863	1.4%	Yes
NPM1		3	3	909	0.3%	Yes
KDR		4	4	919	0.4%	Yes
RELA		2	2	148	1.4%	No
ESR2		2	2	75	2.7%	No
USP6		3	1	19	5.3%	Yes
PDCD11		1	1	14	7.1%	Yes
NEIL1		1	1	83	1.2%	No
NEGR1		1	1	527	0.2%	Yes
PTEN		10	10	920	1.1%	Yes
TCF12		2	1	22	4.5%	Yes
PLK2		1	1	531	0.2%	Yes
CDH4		3	3	83	3.6%	No
CDT1		1	1	8	12.5%	No
BUB1B		4	3	159	1.9%	Yes
IRS1		1	1	531	0.2%	Yes
REL		2	2	756	0.3%	Yes
MAP2K1		1	1	809	0.1%	Yes
TCF7L2		4	4	696	0.6%	Yes
MAP2K2		3	3	741	0.4%	Yes
PTCH1		19	15	802	1.9%	Yes
KMT2C		5	5	598	0.8%	Yes
NF2		7	6	803	0.7%	Yes
NRAS		1	1	920	0.1%	Yes
CDK6		2	2	802	0.2%	Yes
CDK4		2	2	802	0.2%	Yes
GALNT12		3	3	84	3.6%	No
CDC73		3	3	792	0.4%	Yes
STAG2		26	26	773	3.4%	Yes
CTNNB1		7	7	920	0.8%	Yes
YY1AP1		2	2	14	14.3%	Yes
FBXO11		2	1	22	4.5%	Yes
NEIL3		3	1	83	1.2%	No
DROSHA		2	2	361	0.6%	Yes
NF1		16	16	816	2.0%	Yes
UPF1		1	1	361	0.3%	Yes
AGO2		1	1	361	0.3%	Yes
RET		6	6	920	0.7%	Yes
NFE2L2		2	2	807	0.2%	Yes
CDKN2C		2	2	785	0.3%	Yes
CDKN2B		3	2	794	0.3%	Yes
ASXL2		3	3	593	0.5%	Yes
ETV5		2	2	168	1.2%	Yes
CDKN2A		14	13	919	1.4%	Yes
ETV4		3	3	179	1.7%	Yes
CDKN1B		3	3	790	0.4%	Yes
HSP90AB1		1	1	84	1.2%	Yes
ETV1		2	2	702	0.3%	Yes
CASP8		3	2	629	0.3%	Yes
CREBBP		15	15	801	1.9%	Yes
MTOR		6	6	808	0.7%	Yes
TET1		6	5	636	0.8%	Yes
MYOD1		1	1	559	0.2%	Yes
BCL6		4	4	793	0.5%	Yes
SRC		3	3	836	0.4%	Yes
PTP4A1		1	1	361	0.3%	Yes
SYK		3	3	681	0.4%	Yes
EXT2		1	1	159	0.6%	Yes
EXT1		2	2	159	1.3%	Yes
EWSR1		7	7	230	3.0%	Yes
COL2A1		2	2	62	3.2%	Yes
SMO		4	4	911	0.4%	Yes
IFNGR1		2	1	531	0.2%	Yes
CD79A		2	1	588	0.2%	Yes
PNRC1		2	1	597	0.2%	Yes
COL1A1		6	5	84	6.0%	Yes
IL7R		4	4	730	0.5%	Yes
BCR		1	1	42	2.4%	Yes
SMARCD1		1	1	543	0.2%	Yes
PPP2R1A		4	4	753	0.5%	Yes
NBN		4	4	765	0.5%	Yes
RAF1		2	2	802	0.2%	Yes
ENG		1	1	83	1.2%	No
FGFR4		3	3	816	0.4%	Yes
FGFR2		4	4	920	0.4%	Yes
COL7A1		6	6	83	7.2%	No
FGFR3		11	11	919	1.2%	Yes
CEBPA		3	3	725	0.4%	Yes
FGFR1		9	9	919	1.0%	Yes
MLH3		3	3	148	2.0%	No
RUNX1		1	1	794	0.1%	Yes
HLA-B		1	1	362	0.3%	Yes
RUNX1T1		1	1	179	0.6%	Yes
HLA-A		1	1	495	0.2%	Yes
CBFA2T3		2	2	91	2.2%	Yes
FANCM		1	1	98	1.0%	No
CBFB		1	1	719	0.1%	Yes
RAD21		5	5	704	0.7%	Yes
CBL		7	7	802	0.9%	Yes
CBLB		1	1	210	0.5%	Yes
MSH2		6	6	803	0.7%	Yes
RAD51		1	1	728	0.1%	Yes
MSH3		1	1	437	0.2%	Yes
RAD51C		2	2	701	0.3%	Yes
POLQ		4	4	145	2.8%	Yes
BCL10		1	1	516	0.2%	Yes
PTPN11		1	1	911	0.1%	Yes
PTPN14		1	1	83	1.2%	No
EPAS1		1	1	361	0.3%	Yes
EP300		21	19	792	2.4%	Yes
IGF2R		2	2	78	2.6%	No
FH		3	3	745	0.4%	Yes
IGF2		1	1	702	0.1%	Yes
IGF1R		4	4	802	0.5%	Yes
SH2B3		4	4	705	0.6%	Yes
BCL2L11		1	1	531	0.2%	Yes
IGF1		1	1	543	0.2%	Yes
CENPA		1	1	483	0.2%	Yes
EZH2		7	6	862	0.7%	Yes
UBR5		3	3	22	13.6%	Yes
KLHL6		1	1	85	1.2%	Yes
CDH1		5	5	910	0.5%	Yes
PRDM1		5	5	792	0.6%	Yes
CARM1		2	2	361	0.6%	Yes
PRF1		2	2	145	1.4%	Yes
MEN1		3	3	793	0.4%	Yes
INPP4B		4	4	650	0.6%	Yes
SOX17		5	5	531	0.9%	Yes
MAP3K7		1	1	95	1.1%	Yes
NSD1		4	4	702	0.6%	Yes
PTPRK		1	1	62	1.6%	Yes
EPHA7		2	2	634	0.3%	Yes
COP1		4	4	585	0.7%	Yes
EPHA5		7	7	691	1.0%	Yes
EPHA3		1	1	702	0.1%	Yes
BCOR		17	14	781	1.8%	Yes
BLM		5	4	784	0.5%	Yes
HIST1H1C		2	2	573	0.3%	Yes
ARID5B		3	3	593	0.5%	Yes
SF3B1		7	7	794	0.9%	Yes
MAP3K1		8	7	787	0.9%	Yes
POLD1		5	4	632	0.6%	Yes
PTPRB		1	1	62	1.6%	Yes
PTPRC		1	1	16	6.3%	Yes
SSX2		1	1	16	6.3%	Yes
POLE		16	13	691	1.9%	Yes
PTPRD		5	4	653	0.6%	Yes
MAP3K5		2	2	62	3.2%	No
POLH		1	1	86	1.2%	No
EMSY		2	2	85	2.4%	Yes
ICOSLG		1	1	531	0.2%	Yes
RYBP		1	1	531	0.2%	Yes
MPL		2	2	902	0.2%	Yes
MUTYH		6	6	785	0.8%	Yes
MET		10	10	920	1.1%	Yes
SOS1		1	1	506	0.2%	Yes
STAT3		2	2	715	0.3%	Yes
FANCD2		4	4	180	2.2%	Yes
HMBS		5	5	83	6.0%	No
FANCC		6	6	784	0.8%	Yes
ADGRA2		1	1	86	1.2%	Yes
FANCA		7	6	794	0.8%	Yes
H3F3B		1	1	631	0.2%	Yes
H3F3A		8	8	732	1.1%	Yes
CCND2		3	3	794	0.4%	Yes
CCND3		4	4	791	0.5%	Yes
EPHB1		5	5	648	0.8%	Yes
CCNE1		2	2	802	0.2%	Yes
RNF43		1	1	728	0.1%	Yes
PRPF8		2	2	62	3.2%	No
RAD50		3	3	739	0.4%	Yes
CHEK2		5	5	794	0.6%	Yes
BABAM1		1	1	444	0.2%	Yes
MRE11		7	7	740	0.9%	Yes
PRKAR1A		3	3	784	0.4%	Yes
SOX10		1	1	78	1.3%	Yes
KAT6A		2	2	187	1.1%	Yes
SOX9		3	3	734	0.4%	Yes
HOXB13		1	1	629	0.2%	Yes
FANCF		1	1	233	0.4%	Yes
ERBB4		13	13	910	1.4%	Yes
ERBB3		7	7	809	0.9%	Yes
ERBB2		5	5	919	0.5%	Yes
PTK2B		2	2	145	1.4%	No
CRLF2		1	1	720	0.1%	Yes
ATR		8	7	748	0.9%	Yes
HABP2		1	1	83	1.2%	No
ATRX		40	38	793	4.8%	Yes
FANCE		1	1	222	0.5%	Yes
FOXL2		2	2	740	0.3%	Yes
PLAG1		2	1	92	1.1%	Yes
STAT5B		2	2	505	0.4%	Yes
AKT3		5	5	817	0.6%	Yes
STAT5A		1	1	497	0.2%	Yes
SOX2		3	3	785	0.4%	Yes
STAT6		2	2	229	0.9%	Yes
XPA		3	2	159	1.3%	Yes
ASXL1		9	9	792	1.1%	Yes
DICER1		15	13	773	1.7%	Yes
AURKA		4	4	793	0.5%	Yes
PRKCI		1	1	502	0.2%	Yes
ESPL1		1	1	62	1.6%	No
TSHZ2		2	2	62	3.2%	No
STK11		4	4	920	0.4%	Yes
