Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
FH,,1q43,AMP,1,65,1.50%,Yes
CBFB,,16q22.1,AMP,3,63,4.80%,Yes
PTEN,,10q23.31,HOMDEL,1,67,1.50%,Yes
RET,,10q11.21,HOMDEL,1,67,1.50%,Yes
CTCF,,16q22.1,AMP,2,63,3.20%,Yes
MDM2,,12q15,AMP,1,67,1.50%,Yes
GATA2,,3q21.3,HOMDEL,1,63,1.60%,Yes
PAX5,,9p13.2,HOMDEL,1,67,1.50%,Yes
AKT1,,14q32.33,AMP,1,67,1.50%,Yes
FOXL2,,3q22.3,HOMDEL,1,63,1.60%,Yes
KMT2B,,19q13.12,AMP,1,37,2.70%,Yes
MTAP,,9p21.3,HOMDEL,1,6,16.70%,Yes
CDKN2A,,9p21.3,HOMDEL,19,67,28.40%,Yes
H3F3A,,1q42.12,AMP,1,58,1.70%,Yes
RAD21,,8q24.11,AMP,1,59,1.70%,Yes
KLLN,,10q23.31,HOMDEL,1,6,16.70%,No
NTRK2,,9q21.33,AMP,1,67,1.50%,Yes
FLCN,,17p11.2,AMP,1,66,1.50%,Yes
DOCK8,,9p24.3,HOMDEL,1,6,16.70%,No
EXT1,,8q24.11,AMP,1,9,11.10%,Yes
SMARCD1,,12q13.12,AMP,1,57,1.80%,Yes
CDH1,,16q22.1,AMP,2,67,3.00%,Yes
SYK,,9q22.2,AMP,1,60,1.70%,Yes
SMARCB1,,22q11.23|22q11,HOMDEL,3,67,4.50%,Yes
EPHB1,,3q22.2,HOMDEL,1,58,1.70%,Yes
MCL1,,1q21.2,AMP,1,67,1.50%,Yes
CEBPA,,19q13.11,AMP,1,60,1.70%,Yes
ROS1,,6q22.1,AMP,1,66,1.50%,Yes
KMT2D,,12q13.12,AMP,1,66,1.50%,Yes
CDKN2B,,9p21.3,HOMDEL,17,67,25.40%,Yes
ZFHX3,,16q22.2-q22.3,AMP,1,49,2.00%,Yes
