Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
SOX2,,3q26.33,AMP,1,279,0.40%,Yes
BCOR,,Xp11.4,HOMDEL,2,282,0.70%,Yes
PMS2,,7p22.1,HOMDEL,1,284,0.40%,Yes
GPS2,,17p13.1,HOMDEL,1,187,0.50%,Yes
ARID1A,,1p36.11,HOMDEL,1,284,0.40%,Yes
FGFR2,,10q26.13,AMP,1,284,0.40%,Yes
PAX5,,9p13.2,HOMDEL,2,282,0.70%,Yes
FRS2,,12q15,AMP,1,12,8.30%,Yes
TCF3,,19p13.3,HOMDEL,4,262,1.50%,Yes
MST1R,,3p21.31,HOMDEL,4,189,2.10%,Yes
SYK,,9q22.2,HOMDEL,2,255,0.80%,Yes
FH,,1q43,HOMDEL,1,268,0.40%,Yes
ALOX12B,,17p13.1,AMP,1,252,0.40%,Yes
TENT5C,,1p12,AMP,1,279,0.40%,Yes
HIST1H3F,,6p22.2,AMP,1,187,0.50%,Yes
STK19,,6p21.33,AMP,1,144,0.70%,Yes
NBN,,8q21.3,AMP,2,281,0.70%,Yes
SERP2,,13q14.11,AMP,1,11,9.10%,Yes
PTPRT,,20q12-q13.11,AMP,1,205,0.50%,Yes
NUF2,,1q23.3,AMP,3,144,2.10%,Yes
FGFR4,,5q35.2,AMP,1,284,0.40%,Yes
GRIN2A,,16p13.2,AMP,1,217,0.50%,Yes
ELF3,,1q32.1,HOMDEL,2,144,1.40%,Yes
TSC1,,9q34.13,HOMDEL,1,284,0.40%,Yes
MAP2K4,,17p12,AMP,10,281,3.60%,Yes
MAX,,14q23.3,AMP,1,234,0.40%,Yes
EGFR,,7p11.2,AMP,1,284,0.40%,Yes
RYBP,,3p13,HOMDEL,1,205,0.50%,Yes
FGFR3,,4p16.3,AMP,2,284,0.70%,Yes
MTAP,,9p21.3,HOMDEL,5,31,16.10%,Yes
MST1,,3p21.31,HOMDEL,2,187,1.10%,Yes
PDCD1LG2,,9p24.1,AMP,4,221,1.80%,Yes
PBRM1,,3p21.1,AMP,1,267,0.40%,Yes
RAD21,,8q24.11,AMP,3,260,1.20%,Yes
CCND1,,11q13.3,AMP,3,284,1.10%,Yes
PALB2,,16p12.2,HOMDEL,1,284,0.40%,Yes
ICOSLG,,21q22.3,HOMDEL,1,205,0.50%,Yes
IRF4,,6p25.3,HOMDEL,2,221,0.90%,Yes
CDK8,,13q12.13,HOMDEL,1,248,0.40%,Yes
MET,,7q31.2,AMP,3,284,1.10%,Yes
EPHA5,,4q13.1-q13.2,AMP,2,251,0.80%,Yes
AR,,Xq12,AMP,2,284,0.70%,Yes
STAG2,,Xq25,HOMDEL,1,279,0.40%,Yes
RAD51,,15q15.1,HOMDEL,1,247,0.40%,Yes
PTPRD,,9p24.1-p23,AMP,1,228,0.40%,Yes
IL7R,,5p13.2,HOMDEL,1,244,0.40%,Yes
NKX2-1,,14q13.3,HOMDEL,1,282,0.40%,Yes
WWTR1,,3q25.1,AMP,2,144,1.40%,Yes
KEAP1,,19p13.2,AMP,1,267,0.40%,Yes
BIRC3,,11q22.2,AMP,1,201,0.50%,Yes
SESN1,,6q21,AMP,2,144,1.40%,Yes
CTLA4,,2q33.2,HOMDEL,1,235,0.40%,Yes
BCL2,,18q21.33,AMP,3,282,1.10%,Yes
TP63,,3q28,HOMDEL,1,219,0.50%,Yes
NEGR1,,1p31.1,AMP,2,209,1.00%,Yes
ERF,,19q13.2,AMP,1,144,0.70%,Yes
CARM1,,19p13.2,AMP,2,144,1.40%,Yes
BCL2L1,,20q11.21,AMP,2,268,0.70%,Yes
CHEK2,,22q12.1,AMP,1,281,0.40%,Yes
IL10,,1q32.1,HOMDEL,1,205,0.50%,Yes
JAK2,,9p24.1,HOMDEL,1,284,0.40%,Yes
HNF1A,,12q24.31,HOMDEL,1,281,0.40%,Yes
CCNQ,,Xq28,HOMDEL,1,144,0.70%,Yes
FLCN,,17p11.2,HOMDEL,2,279,0.70%,Yes
CSDE1,,1p13.2,AMP,1,144,0.70%,Yes
XIAP,,Xq25,AMP,1,205,0.50%,Yes
SUZ12,,17q11.2,HOMDEL,3,277,1.10%,Yes
ARID5B,,10q21.2,HOMDEL,1,205,0.50%,Yes
CARD11,,7p22.2,AMP,5,279,1.80%,Yes
FAT1,,4q35.2,HOMDEL,2,233,0.90%,Yes
FGFR1,,8p11.23,AMP,5,284,1.80%,Yes
EPHA3,,3p11.1,AMP,5,252,2.00%,Yes
MPL,,1p34.2,AMP,2,279,0.70%,Yes
DAXX,,6p21.32,AMP,1,245,0.40%,Yes
ERBB4,,2q34,AMP,1,281,0.40%,Yes
DUSP4,,8p12,AMP,2,144,1.40%,Yes
ERCC5,,13q33.1,HOMDEL,1,266,0.40%,Yes
CEBPA,,19q13.11,AMP,2,264,0.80%,Yes
ARAF,,Xp11.3,HOMDEL,1,281,0.40%,Yes
RBM10,,Xp11.3,HOMDEL,1,234,0.40%,Yes
EIF1AX,,Xp22.12,AMP,1,205,0.50%,Yes
BCL10,,1p22.3,AMP,1,201,0.50%,Yes
ESR1,,6q25.1-q25.2,AMP,1,284,0.40%,Yes
TOP1,,20q12,AMP,1,222,0.50%,Yes
TRAF2,,9q34.3,AMP,1,201,0.50%,Yes
EED,,11q14.2,HOMDEL,3,239,1.30%,Yes
RHPN2,,19q13.11,AMP,1,34,2.90%,No
BCL6,,3q27.3,HOMDEL,1,282,0.40%,Yes
PRDM1,,6q21,HOMDEL,1,282,0.40%,Yes
IGF1R,,15q26.3,AMP,3,284,1.10%,Yes
NF2,,22q12.2,HOMDEL,4,284,1.40%,Yes
KIT,,4q12,AMP,5,284,1.80%,Yes
ALK,,2p23.2-p23.1,AMP,2,284,0.70%,Yes
JAK3,,19p13.11,AMP,1,284,0.40%,Yes
SETD2,,3p21.31,HOMDEL,1,281,0.40%,Yes
