Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
NECTIN4		11	11	577	1.9%	No
FIP1L1		3	3	92	3.3%	Yes
INSIG1		1	1	252	0.4%	No
XRCC6		3	3	577	0.5%	No
FOXP1		13	12	2216	0.5%	Yes
CLTC		4	3	118	2.5%	Yes
ZFHX4		12	11	155	7.1%	No
INPP4A		16	16	1976	0.8%	Yes
MALT1		5	5	1902	0.3%	Yes
FOXO3		1	1	128	0.8%	Yes
INPP5D		1	1	66	1.5%	Yes
TAZ		2	2	577	0.3%	No
FOXO1		7	6	2139	0.3%	Yes
INPPL1		12	10	1386	0.7%	Yes
YAP1		5	5	2706	0.2%	Yes
ECT2L		2	2	151	1.3%	Yes
OGG1		4	4	577	0.7%	No
POT1		23	19	919	2.1%	Yes
MSI2		2	2	1409	0.1%	Yes
TLX3		4	4	606	0.7%	Yes
H3F3C		7	7	1976	0.4%	Yes
ID4		2	2	577	0.3%	No
INSR		14	13	2013	0.6%	Yes
INSRR		1	1	3592	<0.1%	No
CTCF		14	13	2835	0.5%	Yes
ICK		1	1	97	1.0%	Yes
IRF4		6	6	2310	0.3%	Yes
CDH2		1	1	49	2.0%	No
IDH1		12	12	3564	0.3%	Yes
MTAP		2	2	602	0.3%	Yes
HNF1A		30	30	3536	0.8%	Yes
TCF3		32	30	2911	1.0%	Yes
FLT4		56	52	3217	1.6%	Yes
FLT3		49	46	3587	1.3%	Yes
RPTOR		43	41	2834	1.4%	Yes
FLT1		42	39	3290	1.2%	Yes
CALR		13	12	2610	0.5%	Yes
ELOC		1	1	2501	<0.1%	Yes
TBX3		8	8	2219	0.4%	Yes
IDH2		24	24	3482	0.7%	Yes
SPRED1		2	2	1540	0.1%	Yes
CTNNA1		12	12	852	1.4%	Yes
CTLA4		4	4	2580	0.2%	Yes
NLRP1		1	1	44	2.3%	No
MIB1		1	1	63	1.6%	Yes
TCF12		3	3	130	2.3%	Yes
CDH4		15	14	577	2.4%	No
IRS1		15	15	1976	0.8%	Yes
MAP2K1		25	22	3319	0.7%	Yes
TCF7L2		14	14	2905	0.5%	Yes
NPRL2		1	1	252	0.4%	No
MAP2K2		8	8	2908	0.3%	Yes
NF2		41	40	3285	1.2%	Yes
CDK6		7	7	3282	0.2%	Yes
CDK5		1	1	357	0.3%	No
CSMD3		5	4	44	9.1%	No
FANCL		6	6	830	0.7%	Yes
CDK4		8	8	3284	0.2%	Yes
SPTA1		6	5	170	2.9%	No
CDK2		1	1	390	0.3%	No
CDC73		11	11	3242	0.3%	Yes
CTNNB1		109	104	3591	2.9%	Yes
NF1		182	154	3329	4.6%	Yes
FAAP24		2	2	577	0.3%	No
NFE2L2		19	19	3296	0.6%	Yes
MECOM		20	20	1046	1.9%	Yes
CDKN2C		5	5	3218	0.2%	Yes
ETV6		19	19	3213	0.6%	Yes
CDKN2B		6	6	3248	0.2%	Yes
ETV5		8	8	1127	0.7%	Yes
CDKN2A		64	63	3583	1.8%	Yes
ETV4		9	9	1156	0.8%	Yes
CDKN1C		5	5	957	0.5%	No
CDKN1B		11	10	3246	0.3%	Yes
CDKN1A		6	6	3102	0.2%	Yes
ETV1		16	16	3049	0.5%	Yes
CASP8		9	8	2651	0.3%	Yes
CDK9		3	3	357	0.8%	No
CDK8		5	5	2886	0.2%	Yes
ETS1		3	3	275	1.1%	Yes
TET1		34	33	2630	1.3%	Yes
BCL6		23	23	3250	0.7%	Yes
ITGB2		1	1	44	2.3%	No
SRC		12	12	3005	0.4%	Yes
PTP4A1		2	2	1386	0.1%	Yes
NFKB1		2	1	44	2.3%	No
NFKB2		1	1	72	1.4%	Yes
RAC2		2	1	1386	<0.1%	Yes
NFKBIA		16	14	2949	0.5%	Yes
MTRR		1	1	44	2.3%	No
NFKBIE		6	6	754	0.8%	Yes
EXT2		5	5	1061	0.5%	Yes
EXT1		8	8	1061	0.8%	Yes
EWSR1		6	6	1281	0.5%	Yes
COL2A1		4	4	155	2.6%	Yes
IFNGR1		3	3	1976	0.2%	Yes
COL1A1		3	2	226	0.9%	Yes
BCR		6	6	231	2.6%	Yes
CSDE1		1	1	1386	<0.1%	Yes
RAC1		15	15	2772	0.5%	Yes
RAD51B		2	2	2103	<0.1%	Yes
RAD51D		6	6	2839	0.2%	Yes
DGKH		3	3	154	1.9%	No
RAD52		7	7	2631	0.3%	Yes
RAF1		21	21	3285	0.6%	Yes
COL7A1		57	54	577	9.4%	No
CEBPA		14	12	3096	0.4%	Yes
MLH3		19	18	745	2.4%	No
RUNX1		16	16	3261	0.5%	Yes
RUNX1T1		15	14	880	1.6%	Yes
CBFA2T3		9	9	605	1.5%	Yes
CBFB		3	3	2777	0.1%	Yes
RSPO2		9	9	747	1.2%	Yes
RAD21		18	18	3022	0.6%	Yes
CBL		31	28	3286	0.9%	Yes
MMP2		1	1	44	2.3%	No
PRSS1		5	5	591	0.8%	Yes
MAPKAP1		3	3	1386	0.2%	Yes
CBLB		15	15	1180	1.3%	Yes
RAD51		4	4	2869	0.1%	Yes
RAD51C		9	9	2842	0.3%	Yes
RELN		3	2	67	3.0%	Yes
BCL10		3	3	1900	0.2%	Yes
MBD4		2	2	577	0.3%	No
IGF2R		4	4	203	2.0%	No
IGF2		9	9	2827	0.3%	Yes
IGF1R		41	40	3285	1.2%	Yes
MEF2B		2	2	3190	<0.1%	Yes
SH2B3		23	23	3034	0.8%	Yes
BCL2L11		1	1	1981	<0.1%	Yes
PHOX2B		15	15	3139	0.5%	Yes
IGF1		2	2	2053	<0.1%	Yes
CENPA		1	1	1771	<0.1%	Yes
EZH2		18	18	3467	0.5%	Yes
UBR5		4	4	136	2.9%	Yes
EZH1		4	4	1540	0.3%	Yes
SPRY2		1	1	155	0.6%	No
SPRY1		1	1	154	0.6%	No
PRDM1		26	25	3242	0.8%	Yes
NCOA2		2	2	226	0.9%	Yes
CADM2		2	2	252	0.8%	No
CARM1		2	2	1386	0.1%	Yes
SS18		4	4	848	0.5%	Yes
MUC1		1	1	72	1.4%	Yes
CXCR4		3	3	2595	0.1%	Yes
HIST1H1E		1	1	78	1.3%	Yes
BCOR		70	68	3214	2.1%	Yes
BLM		32	27	3217	0.8%	Yes
HIST1H1C		5	5	2077	0.2%	Yes
POLB		5	5	577	0.9%	No
POLD1		24	24	2519	1.0%	Yes
TDG		6	6	577	1.0%	No
POLE		60	57	2807	2.0%	Yes
SSX1		1	1	152	0.7%	Yes
SSX4		2	2	86	2.3%	Yes
POLH		10	10	586	1.7%	No
PAX8		3	3	283	1.1%	Yes
TRIM37		10	10	577	1.7%	No
ICOSLG		2	2	1976	0.1%	Yes
MPL		23	22	3526	0.6%	Yes
MUTYH		26	26	3226	0.8%	Yes
STAT4		3	3	245	1.2%	Yes
STAT3		18	18	3061	0.6%	Yes
FANCD2		25	24	1172	2.0%	Yes
FANCC		17	17	3219	0.5%	Yes
HRAS		30	30	3569	0.8%	Yes
ADGRA2		7	7	265	2.6%	Yes
FANCA		50	48	3252	1.5%	Yes
H3F3B		2	2	2515	<0.1%	Yes
H3F3A		8	8	3020	0.3%	Yes
FKBP9		4	4	357	1.1%	No
UBE2T		1	1	577	0.2%	No
CCND2		14	14	3202	0.4%	Yes
HIST1H2BD		3	3	1983	0.2%	Yes
CCND3		10	10	3254	0.3%	Yes
CCNE1		11	11	3282	0.3%	Yes
RNF43		21	21	2867	0.7%	Yes
BMPR1A		4	4	2962	0.1%	Yes
BABAM1		7	7	1962	0.4%	Yes
OR5L1		2	2	154	1.3%	No
MRE11		16	16	2903	0.6%	Yes
USP7		3	3	155	1.9%	No
HOXB13		6	6	2511	0.2%	Yes
FANCF		10	10	1286	0.8%	Yes
FANCB		7	7	586	1.2%	No
PTK2B		18	18	730	2.5%	No
FAH		5	5	577	0.9%	No
U2AF2		1	1	155	0.6%	Yes
TMEM30A		2	2	63	3.2%	Yes
HABP2		13	13	577	2.3%	No
FANCE		7	7	1257	0.6%	Yes
FOXL2		9	9	2906	0.3%	Yes
STAT5B		6	5	1925	0.3%	Yes
AKT3		15	15	3336	0.4%	Yes
STAT5A		3	3	1840	0.2%	Yes
STAT6		16	15	1262	1.2%	Yes
PHF6		1	1	1260	<0.1%	Yes
AURKA		11	11	3242	0.3%	Yes
TSHZ2		2	2	154	1.3%	No
STK11		14	14	3587	0.4%	Yes
FAT1		144	118	2728	4.3%	Yes
KAT6B		22	21	625	3.4%	Yes
SIN3A		1	1	155	0.6%	No
EGFL7		5	5	1976	0.3%	Yes
BRCA1		39	37	3304	1.1%	Yes
BRAF		43	42	3592	1.2%	Yes
BRCA2		92	86	3302	2.6%	Yes
FANCG		16	16	1288	1.2%	Yes
EED		13	12	2332	0.5%	Yes
HIST1H3F		4	3	1771	0.2%	Yes
KEAP1		24	22	3158	0.7%	Yes
RPS6KA4		17	16	1976	0.8%	Yes
PRAME		5	5	357	1.4%	No
LRP1B		27	22	274	8.0%	Yes
LEF1		3	3	244	1.2%	Yes
AKT1		14	14	3591	0.4%	Yes
PPARG		16	16	2131	0.8%	Yes
KDM6A		35	33	3220	1.0%	Yes
AKT2		11	11	3333	0.3%	Yes
ERRFI1		2	2	1942	0.1%	Yes
PALB2		34	31	3285	0.9%	Yes
MARK1		1	1	44	2.3%	No
SETD2		86	81	3253	2.5%	Yes
PGR		9	7	1794	0.4%	Yes
VEGFA		1	1	2611	<0.1%	Yes
DIS3		30	28	3146	0.9%	Yes
BTK		15	15	2321	0.6%	Yes
PPP4R2		3	3	1386	0.2%	Yes
MAX		4	4	2591	0.2%	Yes
PIK3R3		6	6	1976	0.3%	Yes
GNA13		1	1	334	0.3%	Yes
NAV3		6	6	155	3.9%	No
EZR		3	3	102	2.9%	Yes
WWTR1		6	5	1392	0.4%	Yes
NCOR2		4	2	75	2.7%	Yes
TNFRSF14		4	4	2287	0.2%	Yes
NCOR1		21	21	2216	0.9%	Yes
HFE		2	2	577	0.3%	No
SUZ12		25	24	3021	0.8%	Yes
ZFHX3		44	38	1925	2.0%	Yes
VHL		14	13	3553	0.4%	Yes
GAB2		1	1	155	0.6%	Yes
HGF		17	17	2281	0.7%	Yes
MCM3		3	3	81	3.7%	No
GEN1		11	11	598	1.8%	No
MCM4		2	2	81	2.5%	No
MCM5		3	3	81	3.7%	No
SMARCA2		2	2	155	1.3%	Yes
DIS3L2		8	7	578	1.2%	No
MCM6		1	1	81	1.2%	No
MCM7		3	3	81	3.7%	No
SERPINA1		5	5	577	0.9%	No
SMARCA4		47	42	3252	1.3%	Yes
SMARCB1		44	36	3581	1.0%	Yes
NRG1		4	4	594	0.7%	Yes
MCL1		13	13	3249	0.4%	Yes
ATM		119	111	3576	3.1%	Yes
MCM2		3	3	81	3.7%	No
DOT1L		17	17	2259	0.8%	Yes
ALK		58	54	3586	1.5%	Yes
MAML2		3	3	203	1.5%	Yes
BCL2L12		15	15	1086	1.4%	No
HIF1A		3	3	228	1.3%	Yes
WAS		4	4	705	0.6%	Yes
TOPBP1		12	12	657	1.8%	No
