Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
NECTIN4		11	11	660	1.7%	No
FIP1L1		7	6	101	5.9%	Yes
INSIG1		1	1	296	0.3%	No
XRCC6		3	3	660	0.5%	No
FOXP1		15	14	2863	0.5%	Yes
CLTC		4	3	137	2.2%	Yes
ZFHX4		14	13	217	6.0%	No
INPP4A		20	20	2507	0.8%	Yes
MALT1		5	5	2418	0.2%	Yes
FOXO3		1	1	161	0.6%	Yes
INPP5D		1	1	80	1.3%	Yes
TAZ		2	2	660	0.3%	No
FOXO1		9	8	2725	0.3%	Yes
INPPL1		16	14	1747	0.8%	Yes
YAP1		6	6	3382	0.2%	Yes
ECT2L		3	3	173	1.7%	Yes
OGG1		5	5	660	0.8%	No
POT1		25	21	1097	1.9%	Yes
MSI2		3	3	1778	0.2%	Yes
TLX3		4	4	697	0.6%	Yes
H3F3C		8	8	2507	0.3%	Yes
ID4		2	2	660	0.3%	No
INSR		21	20	2557	0.8%	Yes
INSRR		1	1	4512	<0.1%	No
CTCF		17	16	3554	0.5%	Yes
ICK		1	1	122	0.8%	Yes
IRF4		7	7	2965	0.2%	Yes
CDH2		1	1	65	1.5%	No
IDH1		53	53	4475	1.2%	Yes
MTAP		2	2	693	0.3%	Yes
HNF1A		36	36	4445	0.8%	Yes
TCF3		38	35	3572	1.0%	Yes
FLT4		65	61	4002	1.5%	Yes
FLT3		57	54	4507	1.2%	Yes
RPTOR		53	51	3554	1.4%	Yes
FLT1		48	45	4096	1.1%	Yes
CALR		15	14	3249	0.4%	Yes
ELOC		1	1	3129	<0.1%	Yes
TBX3		10	10	2827	0.4%	Yes
IDH2		36	36	4345	0.8%	Yes
SPRED1		2	2	1963	0.1%	Yes
CTNNA1		12	12	1023	1.2%	Yes
ESR2		2	2	300	0.7%	No
CTLA4		4	4	3202	0.1%	Yes
NLRP1		1	1	58	1.7%	No
MIB1		1	1	77	1.3%	Yes
TCF12		5	4	152	2.6%	Yes
CDH4		18	17	660	2.6%	No
CDT1		1	1	89	1.1%	No
IRS1		16	16	2507	0.6%	Yes
MAP2K1		26	23	4128	0.6%	Yes
TCF7L2		18	18	3601	0.5%	Yes
NPRL2		1	1	296	0.3%	No
MAP2K2		11	11	3649	0.3%	Yes
NF2		48	46	4088	1.1%	Yes
CDK6		9	9	4084	0.2%	Yes
CDK5		1	1	411	0.2%	No
CSMD3		5	4	58	6.9%	No
FANCL		6	6	990	0.6%	Yes
CDK4		10	10	4086	0.2%	Yes
SPTA1		6	5	236	2.1%	No
CDK2		1	1	453	0.2%	No
CDC73		14	14	4034	0.3%	Yes
CTNNB1		116	111	4511	2.5%	Yes
NF1		198	170	4145	4.1%	Yes
FAAP24		2	2	660	0.3%	No
NFE2L2		21	21	4103	0.5%	Yes
MECOM		20	20	1199	1.7%	Yes
CDKN2C		7	7	4003	0.2%	Yes
ETV6		19	19	3994	0.5%	Yes
CDKN2B		9	8	4042	0.2%	Yes
ETV5		10	10	1295	0.8%	Yes
CDKN2A		78	76	4502	1.7%	Yes
ETV4		12	12	1335	0.9%	Yes
CDKN1C		5	5	1102	0.5%	No
CDKN1B		14	13	4036	0.3%	Yes
CDKN1A		6	6	3844	0.2%	Yes
ETV1		18	18	3751	0.5%	Yes
CASP8		12	10	3280	0.3%	Yes
CDK9		3	3	411	0.7%	No
CDK8		5	5	3625	0.1%	Yes
ETS1		3	3	370	0.8%	Yes
TET1		40	38	3266	1.2%	Yes
BCL6		27	27	4043	0.7%	Yes
ITGB2		1	1	58	1.7%	No
SRC		15	15	3841	0.4%	Yes
PTP4A1		3	3	1747	0.2%	Yes
NFKB1		2	1	58	1.7%	No
NFKB2		1	1	94	1.1%	Yes
RAC2		2	1	1747	<0.1%	Yes
NFKBIA		16	14	3646	0.4%	Yes
MTRR		1	1	58	1.7%	No
NFKBIE		6	6	907	0.7%	Yes
EXT2		6	6	1220	0.5%	Yes
EXT1		10	10	1220	0.8%	Yes
EWSR1		13	13	1511	0.9%	Yes
COL2A1		6	6	217	2.8%	Yes
IFNGR1		5	4	2507	0.2%	Yes
COL1A1		9	7	310	2.3%	Yes
BCR		7	7	273	2.6%	Yes
CSDE1		1	1	1747	<0.1%	Yes
RAC1		15	15	3462	0.4%	Yes
RAD51B		2	2	2656	<0.1%	Yes
RAD51D		6	6	3539	0.2%	Yes
DGKH		3	3	216	1.4%	No
RAD52		7	7	3257	0.2%	Yes
RAF1		23	23	4087	0.6%	Yes
COL7A1		63	60	660	9.1%	No
CEBPA		17	15	3821	0.4%	Yes
MLH3		22	21	893	2.4%	No
RUNX1		17	17	4055	0.4%	Yes
RUNX1T1		16	15	1059	1.4%	Yes
CBFA2T3		11	11	696	1.6%	Yes
CBFB		4	4	3496	0.1%	Yes
RSPO2		9	9	896	1.0%	Yes
RAD21		23	23	3726	0.6%	Yes
CBL		38	35	4088	0.9%	Yes
MMP2		1	1	58	1.7%	No
PRSS1		5	5	678	0.7%	Yes
MAPKAP1		3	3	1747	0.2%	Yes
CBLB		16	16	1390	1.2%	Yes
RAD51		5	5	3597	0.1%	Yes
RAD51C		11	11	3543	0.3%	Yes
RELN		3	2	81	2.5%	Yes
BCL10		4	4	2416	0.2%	Yes
MBD4		2	2	660	0.3%	No
IGF2R		6	6	281	2.1%	No
IGF2		10	10	3529	0.3%	Yes
IGF1R		45	44	4087	1.1%	Yes
MEF2B		2	2	3963	<0.1%	Yes
SH2B3		27	27	3739	0.7%	Yes
BCL2L11		2	2	2512	<0.1%	Yes
PHOX2B		15	15	3911	0.4%	Yes
IGF1		3	3	2596	0.1%	Yes
CENPA		2	2	2254	<0.1%	Yes
EZH2		25	24	4329	0.6%	Yes
UBR5		7	7	158	4.4%	Yes
EZH1		4	4	1963	0.2%	Yes
SPRY2		1	1	217	0.5%	No
SPRY1		1	1	216	0.5%	No
PRDM1		31	30	4034	0.7%	Yes
NCOA2		2	2	310	0.6%	Yes
CADM2		2	2	296	0.7%	No
CARM1		4	4	1747	0.2%	Yes
SS18		4	4	1012	0.4%	Yes
MUC1		1	1	94	1.1%	Yes
CXCR4		3	3	3245	<0.1%	Yes
HIST1H1E		1	1	92	1.1%	Yes
BCOR		87	82	3995	2.1%	Yes
BLM		37	31	4001	0.8%	Yes
HIST1H1C		7	7	2650	0.3%	Yes
POLB		5	5	660	0.8%	No
POLD1		29	28	3151	0.9%	Yes
TDG		6	6	660	0.9%	No
SSX2		1	1	125	0.8%	Yes
POLE		76	70	3498	2.0%	Yes
SSX1		1	1	182	0.5%	Yes
SSX4		2	2	94	2.1%	Yes
POLH		11	11	672	1.6%	No
PAX8		3	3	367	0.8%	Yes
TRIM37		10	10	660	1.5%	No
ICOSLG		3	3	2507	0.1%	Yes
MPL		25	24	4428	0.5%	Yes
MUTYH		32	32	4011	0.8%	Yes
STAT4		3	3	322	0.9%	Yes
STAT3		20	20	3776	0.5%	Yes
FANCD2		29	28	1352	2.1%	Yes
FANCC		23	23	4003	0.6%	Yes
HRAS		30	30	4481	0.7%	Yes
ADGRA2		8	8	351	2.3%	Yes
FANCA		57	54	4046	1.3%	Yes
H3F3B		3	3	3146	<0.1%	Yes
H3F3A		16	16	3752	0.4%	Yes
FKBP9		4	4	411	1.0%	No
UBE2T		1	1	660	0.2%	No
CCND2		17	17	3996	0.4%	Yes
HIST1H2BD		3	3	2514	0.1%	Yes
CCND3		14	14	4045	0.3%	Yes
CCNE1		13	13	4084	0.3%	Yes
RNF43		22	22	3595	0.6%	Yes
BMPR1A		4	4	3645	0.1%	Yes
BABAM1		8	8	2406	0.3%	Yes
OR5L1		2	2	216	0.9%	No
MRE11		23	23	3643	0.6%	Yes
USP7		3	3	217	1.4%	No
HOXB13		7	7	3140	0.2%	Yes
FANCF		11	11	1519	0.7%	Yes
FANCB		7	7	672	1.0%	No
PTK2B		20	20	875	2.3%	No
FAH		5	5	660	0.8%	No
