Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
BCOR		Xp11.4	HOMDEL	3	75	4.0%	Yes
TP53		17p13.1	HOMDEL	2	75	2.7%	Yes
DNAJB1		19p13.12	AMP	1	51	2.0%	Yes
TERT		5p15.33	AMP	2	72	2.8%	Yes
PPP4R2		3p13	AMP	1	43	2.3%	Yes
RAD54B		8q22.1	AMP	1	10	10.0%	No
INHBA		7p14.1	AMP	1	54	1.9%	Yes
ARID1A		1p36.11	HOMDEL	2	75	2.7%	Yes
FRS2		12q15	AMP	1	3	33.3%	Yes
ERCC5		13q33.1	AMP	1	72	1.4%	Yes
DICER1		14q32.13	HOMDEL	1	72	1.4%	Yes
FLT4		5q35.3	HOMDEL	1	75	1.3%	Yes
PMS1		2q32.2	AMP	1	72	1.4%	Yes
PRKCI		3q26.2	AMP	1	59	1.7%	Yes
HIST1H3D		6p22.2	AMP	1	51	2.0%	Yes
IKZF1		7p12.2	AMP	1	75	1.3%	Yes
SH2D1A		Xq25	HOMDEL	2	66	3.0%	Yes
SF3B1		2q33.1	AMP	1	75	1.3%	Yes
HGF		7q21.11	AMP	1	59	1.7%	Yes
HIST1H3F		6p22.2	AMP	1	51	2.0%	Yes
NBN		8q21.3	AMP	2	75	2.7%	Yes
ELOC		8q21.11	AMP	1	61	1.6%	Yes
ERRFI1		1p36.23	HOMDEL	1	51	2.0%	Yes
INHA		2q35	AMP	1	51	2.0%	Yes
FLT1		13q12.3	AMP	1	75	1.3%	Yes
IKBKE		1q32.1	HOMDEL	1	59	1.7%	Yes
BRCA2		13q13.1	HOMDEL	1	75	1.3%	Yes
FGFR4		5q35.2	AMP	1	75	1.3%	Yes
MCL1		1q21.2	AMP	1	75	1.3%	Yes
AR		Xq12	HOMDEL	1	75	1.3%	Yes
CRLF2		Xp22.33 and Yp11.2	HOMDEL	4	75	5.3%	Yes
CDKN2B		9p21.3	HOMDEL	4	75	5.3%	Yes
ETV1		7p21.2	AMP	1	75	1.3%	Yes
NPM1		5q35.1	AMP	1	75	1.3%	Yes
NTRK1		1q23.1	AMP	1	75	1.3%	Yes
CDK4		12q14.1	AMP	1	75	1.3%	Yes
FANCC		9q22.32	AMP	1	75	1.3%	Yes
EGFR		7p11.2	AMP	1	75	1.3%	Yes
MYOD1		11p15.1	AMP	1	56	1.8%	Yes
LATS2		13q12.11	HOMDEL	1	56	1.8%	Yes
MDM2		12q15	AMP	10	75	13.3%	Yes
SPRED1		15q14	HOMDEL	1	43	2.3%	Yes
CD36		7q21.11	AMP	1	3	33.3%	Yes
DIS3		13q21.33	AMP	1	75	1.3%	Yes
PREX2		8q13.2	AMP	1	43	2.3%	Yes
HIST1H3E		6p22.2	AMP	1	51	2.0%	Yes
RAD21		8q24.11	AMP	4	70	5.7%	Yes
FOXO1		13q14.11	HOMDEL	1	54	1.9%	Yes
ATRX		Xq21.1	HOMDEL	1	75	1.3%	Yes
