Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
KANTR	1	1	3592	<0.1%	No
RNU6-649P	1	1	3592	<0.1%	No
GABPA	1	1	3592	<0.1%	No
HMGA2	4	4	272	1.5%	Yes
DUX4	7	7	10	70.0%	No
XRCC6	1	1	577	0.2%	No
STK32A	1	1	3592	<0.1%	No
FOXP1	3	3	2216	0.1%	Yes
ANKS1B	1	1	3592	<0.1%	No
TPH2	1	1	3592	<0.1%	No
INPP4A	2	2	1976	0.1%	Yes
MALT1	2	2	1902	0.1%	Yes
TBCA	1	1	3592	<0.1%	No
TAZ	1	1	577	0.2%	No
H19	1	1	3592	<0.1%	No
FOXO1	31	29	2139	1.4%	Yes
YAP1	7	7	2706	0.3%	Yes
SLC16A7	1	1	3592	<0.1%	No
TSEN2	1	1	3592	<0.1%	No
FOXJ3	1	1	3592	<0.1%	No
TLX3	1	1	606	0.2%	Yes
GNS	1	1	3592	<0.1%	No
LINC00114	1	1	3592	<0.1%	No
FLI1	17	16	67	23.9%	Yes
INSR	1	1	2013	<0.1%	Yes
EIF3E	1	1	3592	<0.1%	Yes
TSBP1	1	1	3592	<0.1%	No
IRF4	1	1	2310	<0.1%	Yes
ARHGEF26-AS1	1	1	3592	<0.1%	No
ADNP2	1	1	3592	<0.1%	No
MTAP	2	2	602	0.3%	Yes
RNFT2	1	1	3592	<0.1%	No
CEP89	1	1	3592	<0.1%	No
CSTF2	1	1	3592	<0.1%	No
GABRG3	1	1	3592	<0.1%	No
TCF3	1	1	2911	<0.1%	Yes
FLT4	4	3	3217	<0.1%	Yes
FLT3	1	1	3587	<0.1%	Yes
RPTOR	1	1	2834	<0.1%	Yes
ELOC	1	1	2501	<0.1%	Yes
TBX3	2	2	2219	<0.1%	Yes
IDH2	1	1	3482	<0.1%	Yes
PERP	1	1	3592	<0.1%	No
R3HDM2	2	2	3592	<0.1%	No
ACSBG2	1	1	3592	<0.1%	No
IFNG-AS1	1	1	3592	<0.1%	No
FN1	2	2	44	4.5%	No
CENPW	1	1	3592	<0.1%	No
CDH4	2	2	577	0.3%	No
CANX	1	1	3592	<0.1%	No
CLMN	1	1	3592	<0.1%	No
CAPN1	1	1	3592	<0.1%	No
OR3A2	1	1	3592	<0.1%	No
MRPS30	1	1	3592	<0.1%	No
MAP2K1	3	3	3319	<0.1%	Yes
MAP2K2	1	1	2908	<0.1%	Yes
MAP2K3	1	1	3592	<0.1%	No
NF2	3	3	3285	<0.1%	Yes
NFATC2	2	2	3592	<0.1%	Yes
CDK6	1	1	3282	<0.1%	Yes
CSMD3	1	1	44	2.3%	No
FANCL	1	1	830	0.1%	Yes
FAM222A	1	1	3592	<0.1%	No
CDK4	16	14	3284	0.4%	Yes
CDC73	1	1	3242	<0.1%	Yes
SULT1B1	1	1	3592	<0.1%	No
CTNNB1	4	4	3591	0.1%	Yes
CAPZB	1	1	3592	<0.1%	No
NF1	22	22	3329	0.7%	Yes
ITGB5	1	1	3592	<0.1%	No
MIR-3974/3974	1	1	3592	<0.1%	No
CDKN2C	1	1	3218	<0.1%	Yes
ETV6	15	15	3213	0.5%	Yes
