Gene,# Structural Variant,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
QKI,1,1,12,8.30%,Yes
STAR,1,1,89,1.10%,No
SMARCA4,1,1,79,1.30%,Yes
MEIS1,1,1,89,1.10%,No
RECQL4,1,1,55,1.80%,Yes
ADGRA2,1,1,12,8.30%,Yes
EWSR1,2,2,26,7.70%,Yes
PAX7,1,1,12,8.30%,Yes
EXOC4,1,1,89,1.10%,No
RELL1,1,1,89,1.10%,No
ALK,2,2,89,2.20%,Yes
ELOC,1,1,58,1.70%,Yes
NCOA2,2,2,12,16.70%,Yes
FOXO1,1,1,53,1.90%,Yes
SDK1,2,1,89,1.10%,No
RAD51AP2,1,1,89,1.10%,No
PDGFA,1,1,1,100.00%,No
PRKAR1A,1,1,79,1.30%,Yes
TERT,1,1,79,1.30%,Yes
NBN,1,1,69,1.40%,Yes
PRKAR1B,1,1,89,1.10%,No
NSD1,1,1,63,1.60%,Yes
DSCR10,1,1,89,1.10%,No
PATZ1,1,1,89,1.10%,Yes
MAP3K13,1,1,44,2.30%,Yes
SLC9A3R2,1,1,89,1.10%,No
FGFR1,4,1,89,1.10%,Yes
GLI1,1,1,65,1.50%,Yes
CDKN2A,1,1,89,1.10%,Yes
GNAS,1,1,88,1.10%,Yes
LINC01726,1,1,89,1.10%,No
RUNX1,1,1,80,1.30%,Yes
CARD11,1,1,80,1.30%,Yes
ATRX,1,1,79,1.30%,Yes
TSC2,2,2,84,2.40%,Yes
CMTM8,1,1,89,1.10%,No
PTPRS,1,1,43,2.30%,Yes
NSD3,2,1,37,2.70%,Yes
KMT2C,1,1,58,1.70%,Yes
