Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
CDC42,,1p36.12,AMP,1,29,3.40%,Yes
STAT6,,12q13.3,AMP,1,15,6.70%,Yes
ARID2,,12q12,AMP,1,57,1.80%,Yes
BCOR,,Xp11.4,HOMDEL,1,58,1.70%,Yes
BABAM1,,19p13.11,AMP,1,36,2.80%,Yes
DNAJB1,,19p13.12,AMP,2,40,5.00%,Yes
TERT,,5p15.33,AMP,2,56,3.60%,Yes
UPF1,,19p13.11,AMP,1,29,3.40%,Yes
FGF6,,12p13.32,AMP,1,1,100.00%,Yes
GATA3,,10p14,HOMDEL,3,57,5.30%,Yes
NUP93,,16q13,HOMDEL,1,41,2.40%,Yes
CCND2,,12p13.32,HOMDEL,1,58,1.70%,Yes
SRC,,20q11.23,AMP,1,51,2.00%,Yes
CIC,,19q13.2,AMP,1,52,1.90%,Yes
NBN,,8q21.3,AMP,2,57,3.50%,Yes
ELOC,,8q21.11,AMP,4,47,8.50%,Yes
IKBKE,,1q32.1,AMP,1,44,2.30%,Yes
CCND2,,12p13.32,AMP,5,58,8.60%,Yes
CDKN1A,,6p21.2,AMP,1,57,1.80%,Yes
ELF3,,1q32.1,AMP,1,29,3.40%,Yes
PTPRT,,20q12-q13.11,AMP,1,43,2.30%,Yes
TMPRSS2,,21q22.3,AMP,1,52,1.90%,Yes
MDM4,,1q32.1,AMP,1,57,1.80%,Yes
MEF2B,,19p13.11,AMP,2,57,3.50%,Yes
FGFR4,,5q35.2,AMP,1,58,1.70%,Yes
NOTCH1,,9q34.3,HOMDEL,1,58,1.70%,Yes
MCL1,,1q21.2,AMP,1,58,1.70%,Yes
PRKN,,6q26,HOMDEL,1,56,1.80%,Yes
CRLF2,,Xp22.33 and Yp11.2,HOMDEL,3,58,5.20%,Yes
CDKN2B,,9p21.3,HOMDEL,4,57,7.00%,Yes
ETV1,,7p21.2,AMP,1,58,1.70%,Yes
NTRK2,,9q21.33,HOMDEL,1,58,1.70%,Yes
PAK5,,20p12.2,HOMDEL,1,44,2.30%,Yes
CDH1,,16q22.1,HOMDEL,1,58,1.70%,Yes
CDK4,,12q14.1,AMP,6,58,10.30%,Yes
MDM2,,12q15,AMP,4,58,6.90%,Yes
FGFR2,,10q26.13,HOMDEL,1,58,1.70%,Yes
MAP2K4,,17p12,HOMDEL,1,57,1.80%,Yes
PREX2,,8q13.2,AMP,2,29,6.90%,Yes
CTCF,,16q22.1,HOMDEL,1,51,2.00%,Yes
RAD21,,8q24.11,AMP,2,54,3.70%,Yes
TRAF2,,9q34.3,HOMDEL,1,42,2.40%,Yes
MET,,7q31.2,AMP,2,58,3.40%,Yes
MAX,,14q23.3,HOMDEL,1,50,2.00%,Yes
FBXW7,,4q31.3,HOMDEL,1,58,1.70%,Yes
SOX17,,8q11.23,AMP,2,43,4.70%,Yes
LYN,,8q12.1,AMP,2,29,6.90%,Yes
KDM5A,,12p13.33,AMP,1,52,1.90%,Yes
RECQL4,,8q24.3,AMP,2,55,3.60%,Yes
KEAP1,,19p13.2,AMP,1,56,1.80%,Yes
GLI1,,12q13.3,AMP,4,54,7.40%,Yes
MYC,,8q24.21,AMP,5,58,8.60%,Yes
PTPN6,,12p13.31,AMP,1,1,100.00%,Yes
KAT6A,,8p11.21,AMP,1,9,11.10%,Yes
ANKRD11,,16q24.3,HOMDEL,1,40,2.50%,Yes
PIK3C2G,,12p12.3,AMP,1,44,2.30%,Yes
MYCN,,2p24.3,AMP,6,58,10.30%,Yes
BRD4,,19p13.12,AMP,2,57,3.50%,Yes
PIM1,,6p21.2,AMP,2,58,3.40%,Yes
AXL,,19q13.2,AMP,1,58,1.70%,Yes
PTEN,,10q23.31,HOMDEL,2,58,3.40%,Yes
CARM1,,19p13.2,AMP,1,29,3.40%,Yes
RUNX1,,21q22.12,AMP,1,58,1.70%,Yes
GATA1,,Xp11.23,HOMDEL,1,44,2.30%,Yes
KDM6A,,Xp11.3,HOMDEL,1,57,1.80%,Yes
AMER1,,Xq11.2,HOMDEL,1,44,2.30%,Yes
CCNQ,,Xq28,HOMDEL,1,29,3.40%,Yes
CDKN2A,,9p21.3,HOMDEL,6,58,10.30%,Yes
PDGFRA,,4q12,AMP,1,58,1.70%,Yes
CSF3R,,1p34.3,AMP,1,54,1.90%,Yes
NOTCH3,,19p13.12,AMP,2,51,3.90%,Yes
ZRSR2,,Xp22.2,HOMDEL,1,54,1.90%,Yes
SESN1,,6q21,HOMDEL,1,29,3.40%,Yes
SUZ12,,17q11.2,HOMDEL,1,57,1.80%,Yes
ARID5B,,10q21.2,HOMDEL,1,43,2.30%,Yes
NSD3,,8p11.23,AMP,3,37,8.10%,Yes
CDK6,,7q21.2,AMP,1,58,1.70%,Yes
CARD11,,7p22.2,AMP,1,57,1.80%,Yes
FAT1,,4q35.2,HOMDEL,1,50,2.00%,Yes
ZFHX3,,16q22.2-q22.3,HOMDEL,1,40,2.50%,Yes
FGFR1,,8p11.23,AMP,5,58,8.60%,Yes
