Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
SOX2		3q26.33	AMP	1	673	0.1%	Yes
STAT6		12q13.3	AMP	3	156	1.9%	Yes
EP300		22q13.2	AMP	1	680	0.1%	Yes
NKX3-1		8p21.2	HOMDEL	2	606	0.3%	Yes
BCOR		Xp11.4	HOMDEL	1	680	0.1%	Yes
MAP3K14		17q21.31	AMP	1	494	0.2%	Yes
FANCE		6p21.31	AMP	2	149	1.3%	Yes
GPS2		17p13.1	HOMDEL	4	483	0.8%	Yes
HIST1H3C		6p22.2	HOMDEL	2	566	0.4%	Yes
FGFR2		10q26.13	AMP	1	687	0.1%	Yes
PAX5		9p13.2	HOMDEL	2	681	0.3%	Yes
PAK5		20p12.2	AMP	1	535	0.2%	Yes
FGF6		12p13.32	AMP	1	12	8.3%	Yes
FRS2		12q15	AMP	1	12	8.3%	Yes
TCF3		19p13.3	HOMDEL	1	639	0.2%	Yes
MST1R		3p21.31	HOMDEL	2	484	0.4%	Yes
XRCC2		7q36.1	AMP	1	567	0.2%	Yes
ESR1		6q25.1-q25.2	HOMDEL	1	687	0.1%	Yes
ALOX12B		17p13.1	AMP	16	589	2.7%	Yes
IGF1		12q23.2	HOMDEL	1	535	0.2%	Yes
RHOA		3p21.31	AMP	2	623	0.3%	Yes
HLA-A		6p22.1	HOMDEL	1	495	0.2%	Yes
ATM		11q22.3	AMP	1	687	0.1%	Yes
HOXB13		17q21.32	AMP	2	567	0.4%	Yes
TENT5C		1p12	AMP	2	672	0.3%	Yes
NFKBIA		14q13.2	AMP	2	632	0.3%	Yes
HIST1H3F		6p22.2	AMP	1	483	0.2%	Yes
EED		11q14.2	AMP	1	578	0.2%	Yes
STK19		6p21.33	AMP	2	361	0.6%	Yes
EXT1		8q24.11	AMP	3	137	2.2%	Yes
NBN		8q21.3	AMP	5	678	0.7%	Yes
NUF2		1q23.3	AMP	7	361	1.9%	Yes
FGFR4		5q35.2	AMP	4	687	0.6%	Yes
AR		Xq12	HOMDEL	1	687	0.1%	Yes
FGFR1		8p11.23	HOMDEL	2	687	0.3%	Yes
MEN1		11q13.1	HOMDEL	1	681	0.1%	Yes
NCOR1		17p12-p11.2	HOMDEL	1	535	0.2%	Yes
TSC1		9q34.13	HOMDEL	1	687	0.1%	Yes
HGF		7q21.11	HOMDEL	1	543	0.2%	Yes
MAP2K4		17p12	AMP	20	679	2.9%	Yes
SOCS2		12q22	AMP	1	11	9.1%	Yes
FANCC		9q22.32	AMP	4	672	0.6%	Yes
MSI1		12q24.31	AMP	1	361	0.3%	Yes
EGFR		7p11.2	AMP	1	687	0.1%	Yes
HIST1H3E		6p22.2	HOMDEL	2	483	0.4%	Yes
RYBP		3p13	HOMDEL	3	523	0.6%	Yes
MTAP		9p21.3	HOMDEL	4	91	4.4%	Yes
MST1		3p21.31	HOMDEL	1	483	0.2%	Yes
FOXA1		14q21.1	AMP	1	606	0.2%	Yes
ID3		1p36.12	AMP	2	631	0.3%	Yes
PDCD1LG2		9p24.1	AMP	2	518	0.4%	Yes
RAD21		8q24.11	AMP	19	631	3.0%	Yes
CCND1		11q13.3	AMP	8	687	1.2%	Yes
PALB2		16p12.2	HOMDEL	1	686	0.1%	Yes
NFKBIA		14q13.2	HOMDEL	1	632	0.2%	Yes
IRF4		6p25.3	HOMDEL	2	543	0.4%	Yes
CDK8		13q12.13	HOMDEL	4	627	0.6%	Yes
EPHA5		4q13.1-q13.2	AMP	1	590	0.2%	Yes
FANCD2		3p25.3	AMP	1	155	0.6%	Yes
ERCC2		19q13.32	AMP	2	679	0.3%	Yes
AR		Xq12	AMP	1	687	0.1%	Yes
STAG2		Xq25	HOMDEL	1	672	0.1%	Yes
AMER1		Xq11.2	AMP	3	535	0.6%	Yes
PTPRD		9p24.1-p23	AMP	3	569	0.5%	Yes
POLE		12q24.33	AMP	1	613	0.2%	Yes
WWTR1		3q25.1	AMP	1	361	0.3%	Yes
KEAP1		19p13.2	AMP	10	662	1.5%	Yes
CCND1		11q13.3	HOMDEL	1	687	0.1%	Yes
PTPN6		12p13.31	AMP	2	11	18.2%	Yes
BIRC3		11q22.2	AMP	1	502	0.2%	Yes
ANKRD11		16q24.3	HOMDEL	2	483	0.4%	Yes
CTLA4		2q33.2	HOMDEL	1	614	0.2%	Yes
TP63		3q28	HOMDEL	1	542	0.2%	Yes
ZFHX3		16q22.2-q22.3	AMP	2	483	0.4%	Yes
NEGR1		1p31.1	AMP	3	527	0.6%	Yes
FH		1q43	AMP	1	661	0.2%	Yes
DAXX		6p21.32	HOMDEL	4	618	0.6%	Yes
ERBB3		12q13.2	AMP	4	679	0.6%	Yes
NSD3		8p11.23	HOMDEL	1	452	0.2%	Yes
CARM1		19p13.2	AMP	6	361	1.7%	Yes
DUSP4		8p12	HOMDEL	1	361	0.3%	Yes
BCL2L1		20q11.21	AMP	4	662	0.6%	Yes
CHEK2		22q12.1	AMP	2	679	0.3%	Yes
JAK2		9p24.1	HOMDEL	2	687	0.3%	Yes
AMER1		Xq11.2	HOMDEL	2	535	0.4%	Yes
HNF1A		12q24.31	HOMDEL	1	678	0.1%	Yes
HIST1H3A		6p22.2	HOMDEL	2	483	0.4%	Yes
CCNQ		Xq28	HOMDEL	1	361	0.3%	Yes
FLCN		17p11.2	HOMDEL	3	672	0.4%	Yes
NSD2		4p16.3	HOMDEL	2	463	0.4%	Yes
XIAP		Xq25	AMP	1	523	0.2%	Yes
BTG1		12q21.33	AMP	1	20	5.0%	Yes
SUZ12		17q11.2	HOMDEL	2	671	0.3%	Yes
ARID5B		10q21.2	HOMDEL	2	523	0.4%	Yes
CARD11		7p22.2	AMP	15	673	2.2%	Yes
FAT1		4q35.2	HOMDEL	3	607	0.5%	Yes
FGFR1		8p11.23	AMP	7	687	1.0%	Yes
EPHA3		3p11.1	AMP	3	590	0.5%	Yes
FANCA		16q24.3	AMP	1	679	0.1%	Yes
SMARCD1		12q13.12	AMP	1	535	0.2%	Yes
ARAF		Xp11.3	AMP	2	679	0.3%	Yes
ERG		21q22.2	AMP	3	627	0.5%	Yes
HIST1H3F		6p22.2	HOMDEL	2	483	0.4%	Yes
KMT2C		7q36.1	HOMDEL	1	535	0.2%	Yes
