Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
CALR,,19p13.13,AMP,1,66,1.50%,Yes
CDK4,,12q14.1,AMP,2,85,2.40%,Yes
DNMT1,,19p13.2,AMP,1,62,1.60%,Yes
PTEN,,10q23.31,HOMDEL,1,85,1.20%,Yes
STAT6,,12q13.3,AMP,1,22,4.50%,Yes
BCOR,,Xp11.4,HOMDEL,1,84,1.20%,Yes
TP53,,17p13.1,HOMDEL,1,85,1.20%,Yes
CARM1,,19p13.2,AMP,1,41,2.40%,Yes
RUNX1,,21q22.12,AMP,2,84,2.40%,Yes
DNAJB1,,19p13.12,AMP,1,58,1.70%,Yes
MDM2,,12q15,AMP,1,85,1.20%,Yes
TERT,,5p15.33,AMP,2,83,2.40%,Yes
UPF1,,19p13.11,AMP,1,41,2.40%,Yes
MTAP,,9p21.3,HOMDEL,2,9,22.20%,Yes
PRDM1,,6q21,HOMDEL,1,84,1.20%,Yes
CDKN2A,,9p21.3,HOMDEL,9,85,10.60%,Yes
ID3,,1p36.12,AMP,1,79,1.30%,Yes
IL7R,,5p13.2,AMP,1,71,1.40%,Yes
NOTCH3,,19p13.12,AMP,1,72,1.40%,Yes
AXIN2,,17q24.1,AMP,1,70,1.40%,Yes
NSD3,,8p11.23,AMP,1,50,2.00%,Yes
IGF1R,,15q26.3,AMP,1,85,1.20%,Yes
DOCK8,,9p24.3,HOMDEL,1,8,12.50%,No
FGFR1,,8p11.23,AMP,1,85,1.20%,Yes
SUFU,,10q24.32,HOMDEL,1,83,1.20%,Yes
ERG,,21q22.2,AMP,1,72,1.40%,Yes
KRAS,,12p12.1,AMP,1,85,1.20%,Yes
SMARCA4,,19p13.2,AMP,1,84,1.20%,Yes
SOX9,,17q24.3,AMP,1,82,1.20%,Yes
ERCC2,,19q13.32,AMP,1,84,1.20%,Yes
SMARCB1,,22q11.23|22q11,HOMDEL,1,85,1.20%,Yes
TMPRSS2,,21q22.3,AMP,1,72,1.40%,Yes
DROSHA,,5p13.3,AMP,1,41,2.40%,Yes
KDM5A,,12p13.33,AMP,1,72,1.40%,Yes
ARID1B,,6q25.3,HOMDEL,1,83,1.20%,Yes
AKT2,,19q13.2,AMP,1,85,1.20%,Yes
GLI1,,12q13.3,AMP,1,79,1.30%,Yes
MYC,,8q24.21,AMP,2,85,2.40%,Yes
U2AF1,,21q22.3,AMP,1,84,1.20%,Yes
ERBB4,,2q34,HOMDEL,1,84,1.20%,Yes
DNMT3A,,2p23.3,HOMDEL,1,84,1.20%,Yes
CDKN2B,,9p21.3,HOMDEL,8,84,9.50%,Yes
INSR,,19p13.2,AMP,1,63,1.60%,Yes
CDKN2C,,1p32.3,HOMDEL,1,83,1.20%,Yes
