Gene,Gistic(Q-value),Cytoband,CNA,Profiled Samples,#,Freq,Is Cancer Gene (source: OncoKB)
PTEN,,10q23.31,HOMDEL,1,18,5.60%,Yes
TP53,,17p13.1,HOMDEL,1,18,5.60%,Yes
EED,,11q14.2,HOMDEL,1,16,6.30%,Yes
MAP3K13,,3q27.2,AMP,1,13,7.70%,Yes
TEK,,9p21.2,HOMDEL,1,8,12.50%,Yes
CD36,,7q21.11,AMP,1,2,50.00%,Yes
MTAP,,9p21.3,HOMDEL,1,2,50.00%,Yes
CDKN2A,,9p21.3,HOMDEL,5,18,27.80%,Yes
PREX2,,8q13.2,AMP,1,8,12.50%,Yes
PDGFRA,,4q12,AMP,1,18,5.60%,Yes
RAD21,,8q24.11,AMP,1,18,5.60%,Yes
PRDM14,,8q13.3,AMP,1,8,12.50%,Yes
IGF1R,,15q26.3,AMP,1,18,5.60%,Yes
TP63,,3q28,AMP,1,13,7.70%,Yes
CARD11,,7p22.2,AMP,1,18,5.60%,Yes
BCL6,,3q27.3,AMP,1,18,5.60%,Yes
KIT,,4q12,AMP,1,18,5.60%,Yes
NBN,,8q21.3,AMP,1,18,5.60%,Yes
ELOC,,8q21.11,AMP,1,13,7.70%,Yes
SOX17,,8q11.23,AMP,1,11,9.10%,Yes
LYN,,8q12.1,AMP,1,8,12.50%,Yes
CCND3,,6p21.1,AMP,1,18,5.60%,Yes
VEGFA,,6p21.1,AMP,1,15,6.70%,Yes
RECQL4,,8q24.3,AMP,1,16,6.30%,Yes
MYC,,8q24.21,AMP,1,18,5.60%,Yes
TERT,,5p15.33,HOMDEL,1,16,6.30%,Yes
ACTB,,7p22.1,AMP,1,2,50.00%,Yes
CDKN2B,,9p21.3,HOMDEL,5,18,27.80%,Yes
AGO2,,8q24.3,AMP,1,8,12.50%,Yes
